original_sentence,summary,level,FRE,performance
And here is some code if you want to run.|,"If you should desire to run it, here is some code provided for you.|",1,83.85357142857143,0
And here is some code if you want to run.|,"Given herein, should you wish to run it, is code for your utilization.|",1,69.99384615384618,0
It and become part of this peer-to-peer network. We don't.|,Become a network member. Not us.|,2,76.89000000000003,0
It and become part of this peer-to-peer network. We don't.|,Join the peer network. We do not.|,3,106.59678571428573,0
It and become part of this peer-to-peer network. We don't.|,Be part of this peer network. Not us.|,4,107.60000000000001,0
It and become part of this peer-to-peer network. We don't.|,Join the peer network. Not us.|,9,105.09000000000002,0
Know who this person is. This person is basically virtually.,"Be aware of this individual. Essentially, this person is almost virtual.",1,32.05250000000001,0
Know who this person is. This person is basically virtually.,Be aware of the individual. This individual is nearly virtual.,2,15.640000000000015,0
Know who this person is. This person is basically virtually.,Identify this person. They are nearly virtual.,3,34.08250000000001,1
Know who this person is. This person is basically virtually.,Know this person. They are almost virtual.,4,70.33964285714288,0
Know who this person is. This person is basically virtually.,Recognize this person. They are nearly virtual.,5,46.1682142857143,0
Know who this person is. This person is basically virtually.,Understand who this person is. They are nearly virtual.,6,61.26750000000001,1
Know who this person is. This person is basically virtually.,Recognize who this person is. The person is almost virtual.,7,57.940000000000026,0
Know who this person is. This person is basically virtually.,Identify who this person is. They are mostly virtual.,8,51.867500000000035,0
Know who this person is. This person is basically virtually.,Know this person. This person is nearly virtual.,9,65.30000000000001,0
Know who this person is. This person is basically virtually.,Identify this individual. They are almost virtual.,1,-2.1746428571428282,0
disappeared from the internet and from the world. But it's.,No longer online or in the world.,1,90.95857142857145,0
disappeared from the internet and from the world. But it's.,Gone from both the internet and the world.,2,92.965,0
disappeared from the internet and from the world. But it's.,It disappeared from the digital and physical world.,4,50.66500000000002,0
disappeared from the internet and from the world. But it's.,It has vanished from both the internet and the world.,5,86.70500000000001,0
disappeared from the internet and from the world. But it's.,It ceased to exist online and in the real world.,6,95.165,0
disappeared from the internet and from the world. But it's.,It is no longer seen online or in reality.,7,66.10000000000002,0
disappeared from the internet and from the world. But it's.,It has left both the internet and the world.,8,94.30000000000001,0
disappeared from the internet and from the world. But it's.,It's gone from the internet and the world.,9,92.965,1
disappeared from the internet and from the world. But it's.,It's no longer on the internet or in the world.,1,86.70500000000001,0
created something that has captured so many people's imaginations and.,Developed an idea that fascinates many people.,1,18.44428571428574,1
created something that has captured so many people's imaginations and.,Made something that excites lots of people.,2,78.87285714285717,0
created something that has captured so many people's imaginations and.,Created something intriguing for many people.,3,17.44500000000002,0
created something that has captured so many people's imaginations and.,Designed an idea that captivates people.,4,31.545000000000016,0
created something that has captured so many people's imaginations and.,Crafted something intriguing.,5,6.390000000000015,0
created something that has captured so many people's imaginations and.,Made something that interested many people.,6,45.64500000000001,0
created something that has captured so many people's imaginations and.,Made something that many love.,7,83.32000000000004,0
created something that has captured so many people's imaginations and.,Created something exciting.,8,-21.809999999999945,0
created something that has captured so many people's imaginations and.,Made something fun.,9,90.99000000000004,1
created something that has captured so many people's imaginations and.,Built something cool.,1,90.99000000000004,0
"Has sort of, depending on how you measure it, created.","It kind of, based on measurement, created.",1,66.7871428571429,0
"Has sort of, depending on how you measure it, created.","It has, by some metrics, created.",2,73.84500000000001,0
"Has sort of, depending on how you measure it, created.","It has, somewhat based on measures, created.",3,54.70142857142861,0
"Has sort of, depending on how you measure it, created.","It has, depending on your measurement, created.",4,42.61571428571432,1
"Has sort of, depending on how you measure it, created.","It has, according to measures, created.",5,31.545000000000016,0
"Has sort of, depending on how you measure it, created.","It has created, depending on metrics.",6,45.64500000000001,0
"Has sort of, depending on how you measure it, created.","It has created, based on measures.",7,59.745000000000005,0
"Has sort of, depending on how you measure it, created.",It created based on measures.,8,49.48000000000002,0
"Has sort of, depending on how you measure it, created.",It has created.,9,62.79000000000002,0
billions and billions of dollars of economic value and sort.,Huge economic value is generated.,1,-1.2799999999999727,0
billions and billions of dollars of economic value and sort.,Vast sums in economic worth.,2,66.40000000000003,0
billions and billions of dollars of economic value and sort.,Economic value amounts to billions.,3,15.640000000000015,0
billions and billions of dollars of economic value and sort.,Economic value reaches immense billions.,4,-1.2799999999999727,0
billions and billions of dollars of economic value and sort.,Billions add to economic value.,5,32.56000000000003,0
billions and billions of dollars of economic value and sort.,Billions in economic value.,6,12.425000000000011,0
billions and billions of dollars of economic value and sort.,Billions and economic gain.,7,33.57500000000002,0
billions and billions of dollars of economic value and sort.,Billions in value.,8,62.79000000000002,0
billions and billions of dollars of economic value and sort.,Billions of value.,9,62.79000000000002,0
billions and billions of dollars of economic value and sort.,Huge value in billions.,1,75.87500000000001,0
of inspired a lot of people to think about how.,motivated many to consider how.,9,15.640000000000015,0
of inspired a lot of people to think about how.,inspired many to ponder how.,8,49.48000000000002,0
of inspired a lot of people to think about how.,inspired many people to consider how.,7,31.545000000000016,0
of inspired a lot of people to think about how.,inspired numerous people to consider how.,6,17.44500000000002,0
of inspired a lot of people to think about how.,motivated a large number of individuals to reflect on how.,5,35.94500000000002,0
of inspired a lot of people to think about how.,stimulated interest among many to contemplate how.,4,18.44428571428574,0
of inspired a lot of people to think about how.,prompted a sizable group of people to think about how.,3,69.78500000000001,0
of inspired a lot of people to think about how.,led to a large number of individuals to deliberate on how.,2,49.54272727272729,0
of inspired a lot of people to think about how.,inspired a considerable number of people to contemplate the ways in which.,1,39.55500000000001,0
of inspired a lot of people to think about how.,incited an extensive group of individuals to systematically examine the ways in which.,1,17.932307692307717,1
to use this technology to solve a myriad of different.,Employ the tech to solve various issues.,9,66.7871428571429,0
to use this technology to solve a myriad of different.,Utilize this tech for many solutions.,8,45.64500000000001,0
to use this technology to solve a myriad of different.,This technology resolves numerous problems.,7,-1.2799999999999727,0
to use this technology to solve a myriad of different.,The tech solves a variety of issues.,6,66.7871428571429,1
to use this technology to solve a myriad of different.,This tech addresses many different problems.,5,31.545000000000016,0
to use this technology to solve a myriad of different.,"Using this tech, various problems are solved.",4,54.70142857142861,0
to use this technology to solve a myriad of different.,"Through this technology, numerous issues can be solved.",3,40.09,0
to use this technology to solve a myriad of different.,Utilizing this technology enables solutions to a wide range of different problems.,2,18.405,0
to use this technology to solve a myriad of different.,"With this technology, it is possible to address and solve a broad spectrum of varied issues.",1,58.4075,0
"problems, not just electronic payments. So cryptocurrencies and the technology.|","Challenges, beyond just digital payments. Hence, crypto and tech.|",2,51.867500000000035,0
"problems, not just electronic payments. So cryptocurrencies and the technology.|","Issues, beyond just payments. So, crypto and tech.|",6,75.87500000000001,0
"problems, not just electronic payments. So cryptocurrencies and the technology.|","Problems, beyond digital payments. So, crypto tech.|",7,46.1682142857143,0
"problems, not just electronic payments. So cryptocurrencies and the technology.|","Problems, not just online pay. Thus, crypto tech.|",1,86.45000000000002,0
Behind them are inspiring people to think about how to.,Behind them are people inspiring others to think about how to.,1,64.9245454545455,0
Behind them are inspiring people to think about how to.,"Behind them, people are inspiring thought.",2,59.745000000000005,0
Behind them are inspiring people to think about how to.,People behind them inspire thinking about how to.,3,61.24000000000001,0
Behind them are inspiring people to think about how to.,"Behind them, people inspire thinking about how to.",4,61.24000000000001,0
Behind them are inspiring people to think about how to.,Inspiring people behind them encourage thinking of how to.,5,47.30000000000004,0
Behind them are inspiring people to think about how to.,People behind are inspiring others to think about how to.,6,61.32500000000002,1
Behind them are inspiring people to think about how to.,Inspiring people behind them think about how to.,7,61.24000000000001,0
Behind them are inspiring people to think about how to.,People behind them inspire others to think about how.,8,66.10000000000002,0
Behind them are inspiring people to think about how to.,People behind them inspire thinking about how.,9,54.70142857142861,0
"World, get rid of trusted intermediaries and institutions in certain.|","World, eliminate trusted intermediaries and institutions in specific cases.|",1,-27.89999999999995,0
"World, get rid of trusted intermediaries and institutions in certain.|","World, remove trusted intermediaries and organizations sometimes.|",2,-29.898571428571415,0
"World, get rid of trusted intermediaries and institutions in certain.|","World, eliminate intermediaries and institutions when needed.|",3,-29.898571428571415,0
"World, get rid of trusted intermediaries and institutions in certain.|","World, dispose of trusted intermediaries and organizations at times.|",4,9.700000000000017,0
"World, get rid of trusted intermediaries and institutions in certain.|","World, abolish trusted intermediaries and institutions where necessary.|",5,-33.934999999999974,0
"World, get rid of trusted intermediaries and institutions in certain.|","World, cut out trusted intermediaries and institutions as required.|",6,19.100000000000023,0
"World, get rid of trusted intermediaries and institutions in certain.|","World, remove trusted intermediaries and institutions on occasion.|",7,-12.784999999999997,0
"World, get rid of trusted intermediaries and institutions in certain.|","World, get rid of trusted intermediaries and organizations sometimes.|",8,9.700000000000017,0
"World, get rid of trusted intermediaries and institutions in certain.|","World, remove trusted intermediaries in some situations.|",9,6.35857142857148,0
"situations, and basically solve every problem if you read about.|","In various situations, reading can essentially solve every problem.|",1,9.700000000000017,0
"situations, and basically solve every problem if you read about.|",Different situations could mostly be solved by reading.|,2,40.09,0
"situations, and basically solve every problem if you read about.|",Reading can usually solve problems in many situations.|,3,29.515000000000015,0
"situations, and basically solve every problem if you read about.|",You might solve problems by reading about different situations.|,4,47.30000000000004,1
"situations, and basically solve every problem if you read about.|",Reading about situations might help solve many problems.|,5,40.09,0
"situations, and basically solve every problem if you read about.|",Reading can help solve most problems in various situations.|,6,56.70000000000002,0
"situations, and basically solve every problem if you read about.|",You can solve many situations by reading about them.|,7,56.70000000000002,0
"situations, and basically solve every problem if you read about.|",Reading helps solve different problems in many cases.|,8,50.66500000000002,0
"situations, and basically solve every problem if you read about.|",Reading is very helpful for solving many problems.|,9,50.66500000000002,0
"situations, and basically solve every problem if you read about.|",Reading often solves a lot of problems in many stages.|,1,69.78500000000001,0
exactly what this class is about. This class is not.|,This class is difficult to understand. It is challenging.|,1,61.26750000000001,0
exactly what this class is about. This class is not.|,The class is designed for advanced students and is hard.|,2,86.70500000000001,0
exactly what this class is about. This class is not.|,This challenging course requires significant effort.|,3,3.344999999999999,0
exactly what this class is about. This class is not.|,Understanding this class takes considerable effort.|,4,3.344999999999999,0
exactly what this class is about. This class is not.|,The course is demanding but worthwhile for growth.|,5,82.39000000000001,0
exactly what this class is about. This class is not.|,This class is tough but rewarding to those who try.|,6,95.165,0
exactly what this class is about. This class is not.|,The class offers valuable insights and is worth taking.|,7,66.10000000000002,0
exactly what this class is about. This class is not.|,The course is both interesting and informative.|,8,54.70142857142861,0
exactly what this class is about. This class is not.|,This class is engaging and highly informative.|,9,42.61571428571432,0
going to be about applications. This class is going to.,The class will focus on applications.,9,59.745000000000005,0
going to be about applications. This class is going to.,The lesson centers on applications.,8,32.56000000000003,0
going to be about applications. This class is going to.,Applications are the class topic.,7,49.48000000000002,0
going to be about applications. This class is going to.,This class will discuss applications.,6,49.48000000000002,0
going to be about applications. This class is going to.,The course details various applications.,5,15.640000000000015,0
going to be about applications. This class is going to.,We will study different applications in class.,4,42.61571428571432,1
going to be about applications. This class is going to.,This class will be covering various topics around applications.,3,28.50000000000003,0
going to be about applications. This class is going to.,The entire class is going to delve into the subject of applications comprehensively.,2,24.440000000000026,1
going to be about applications. This class is going to.,"This session will comprehensively involve the subject of various applications, fully covering the topic.",1,11.339285714285722,1
You are going to learn about technology and infrastructure.,You will learn about tech and infrastructure.,9,66.7871428571429,0
You are going to learn about technology and infrastructure.,Gain knowledge on tech and infrastructure.,8,59.745000000000005,0
You are going to learn about technology and infrastructure.,You will study tech and infrastructure.,7,59.745000000000005,0
You are going to learn about technology and infrastructure.,Technology and infrastructure will be studied by you.,6,40.09,0
You are going to learn about technology and infrastructure.,You will gain insight into tech and infrastructure subjects.,5,56.70000000000002,1
You are going to learn about technology and infrastructure.,You will get acquainted with technology and infrastructure fields.,4,37.900000000000034,0
You are going to learn about technology and infrastructure.,Understanding the domains of technology and infrastructure will be your aim.,3,34.160909090909115,1
You are going to learn about technology and infrastructure.,Acquiring comprehensive knowledge encompassing technology along with infrastructure is expected from you.,2,-16.845,0
You are going to learn about technology and infrastructure.,Delving into the intricacies associated with technology as well as infrastructure constitutes your studies.,1,-0.7464285714285381,0
"what's important, what are the techniques, and what application you.|","Significant factors, methods, and application.|",1,-18.19999999999996,0
"what's important, what are the techniques, and what application you.|","Main points, methods, and their application.|",2,59.745000000000005,0
"what's important, what are the techniques, and what application you.|","Key elements, techniques, and their use.|",3,59.745000000000005,0
"what's important, what are the techniques, and what application you.|","Critical aspects, methods, and their practical application.|",4,6.35857142857148,0
"what's important, what are the techniques, and what application you.|","Important points, techniques, and their applications.|",5,17.44500000000002,0
"what's important, what are the techniques, and what application you.|","Crucial factors, techniques, and their usage.|",6,45.64500000000001,0
"what's important, what are the techniques, and what application you.|","Key points, methods, and applications.|",7,49.48000000000002,0
"what's important, what are the techniques, and what application you.|","Vital points, techniques, and use.|",8,66.40000000000003,0
"what's important, what are the techniques, and what application you.|","Important points, techniques, and their use.|",9,59.745000000000005,0
"what's important, what are the techniques, and what application you.|","Main points, methods, and uses.|",1,83.32000000000004,0
choose to apply that to down the line. That's kind.|,Decisions made now can affect the future. It's nice.|,1,80.06750000000002,0
choose to apply that to down the line. That's kind.|,Applying something in the future is a considerate choice.|,2,47.30000000000004,0
choose to apply that to down the line. That's kind.|,It is good to apply this idea in the future.|,3,78.24500000000002,0
choose to apply that to down the line. That's kind.|,"If you apply that later, it's a kind action.|",4,84.90000000000003,0
choose to apply that to down the line. That's kind.|,Applying that later shows kindness.|,5,49.48000000000002,0
choose to apply that to down the line. That's kind.|,Applying it later is a kind act.|,6,78.87285714285717,0
choose to apply that to down the line. That's kind.|,It is kind to apply that in the future.|,7,94.30000000000001,0
choose to apply that to down the line. That's kind.|,It is kind to apply this idea later.|,8,71.81500000000001,0
choose to apply that to down the line. That's kind.|,Applying that later is nice.|,9,66.40000000000003,0
of up to you. But we're not going to be.,It's your choice. But we won't be.,9,118.6825,0
of up to you. But we're not going to be.,It's for you to decide. We won't participate.,8,75.87500000000001,0
of up to you. But we're not going to be.,The decision is up to you. We will not be involved.,7,93.57977272727274,0
of up to you. But we're not going to be.,"It is entirely your decision, but we are not going to take part.",6,69.99384615384618,1
of up to you. But we're not going to be.,"The choice is yours to make, however, we will not be participating in it.",5,71.76785714285715,0
of up to you. But we're not going to be.,"The responsibility is yours, but we are not going to be a part of it.",4,73.17000000000003,0
of up to you. But we're not going to be.,"The choice is entirely yours; however, we will refrain from any involvement.",1,53.655,0
of up to you. But we're not going to be.,"The matter is in your hands exclusively, but we will abstain from participating.",1,56.97846153846157,0
Doing digital identity or health care records or something like.|,Engaging in digital identity or managing health care records.|,1,19.100000000000023,1
Doing digital identity or health care records or something like.|,Handling tasks like digital identity or health records.|,2,40.09,0
Doing digital identity or health care records or something like.|,Working with digital identity or health care records.|,3,40.09,0
Doing digital identity or health care records or something like.|,Managing digital identity or health care records.|,4,18.44428571428574,0
Doing digital identity or health care records or something like.|,Handling digital identity or health records.|,5,17.44500000000002,0
Doing digital identity or health care records or something like.|,Managing digital identity or health records.|,6,3.344999999999999,0
Doing digital identity or health care records or something like.|,Dealing with digital identity or health records.|,7,30.53000000000003,0
Doing digital identity or health care records or something like.|,Handling digital identities or health records.|,8,17.44500000000002,0
Doing digital identity or health care records or something like.|,Using digital identity or health records.|,9,17.44500000000002,0
Doing digital identity or health care records or something like.|,Handling digital identity or health records.|,1,17.44500000000002,1
that. We're going to be talking about the technology. So.|,We will discuss technology.|,9,33.57500000000002,0
that. We're going to be talking about the technology. So.|,We will talk about technology.|,8,49.48000000000002,0
that. We're going to be talking about the technology. So.|,Let's talk about technology.|,7,33.57500000000002,0
that. We're going to be talking about the technology. So.|,We are discussing technology topics.|,6,15.640000000000015,0
that. We're going to be talking about the technology. So.|,We are going to cover the topic of recent technology.|,5,52.86500000000001,1
that. We're going to be talking about the technology. So.|,We are planning on discussing advancements in technology.|,4,29.515000000000015,0
that. We're going to be talking about the technology. So.|,We intend to talk about technological developments and improvements.|,3,0.30000000000001137,0
that. We're going to be talking about the technology. So.|,"Our conversation will focus on technology, including its current trends and future implications.|",2,11.424615384615407,0
that. We're going to be talking about the technology. So.|,"The discussion today will revolve around technology and how it affects various aspects of our lives, emphasizing specific innovations and their impacts.|",1,15.305000000000007,1
currencies? And another thing that I want to make really.,Money from different countries and one more thing that needs clarity.,1,64.9245454545455,0
currencies? And another thing that I want to make really.,"Money types? Also, something else I need to clarify.",2,70.66750000000002,0
currencies? And another thing that I want to make really.,"Foreign money? Moreover, I have something else to clarify.",3,51.867500000000035,0
currencies? And another thing that I want to make really.,"Different currencies? Additionally, I have another clarification to make.",4,-13.932499999999948,0
currencies? And another thing that I want to make really.,"Types of currencies? Plus, I need to clarify another point.",5,66.40000000000003,0
currencies? And another thing that I want to make really.,"Various currencies? Furthermore, there is a point I wish to clarify.",6,55.12522727272727,0
currencies? And another thing that I want to make really.,"Various currencies? Also, I need to clarify another thing.",8,33.067500000000024,0
currencies? And another thing that I want to make really.,"Money? Also, I need to clarify something else.",9,65.30000000000001,0
Clear is that the terms in this space are still.,Obvious is that the terminology here remains constant.,1,29.515000000000015,0
Clear is that the terms in this space are still.,Clear is that the terms in this space remain unchanged.,2,86.70500000000001,0
Clear is that the terms in this space are still.,Evident is the terms in this area remain stagnant.,3,56.70000000000002,0
Clear is that the terms in this space are still.,It is apparent the terms in this area are not changing.,4,80.30636363636367,0
Clear is that the terms in this space are still.,"Clearly, the terms used in this field remain static.",5,84.90000000000003,0
Clear is that the terms in this space are still.,It is clear that the terms here are still the same.,6,111.07000000000002,0
Clear is that the terms in this space are still.,It is evident the terms here are not yet changed.,7,95.165,0
Clear is that the terms in this space are still.,The terms in this space still remain clear.,8,103.54,0
Clear is that the terms in this space are still.,It is clear the terms here stay the same.,9,113.10000000000002,0
Clear is that the terms in this space are still.,Terms here are clearly still unchanged.,1,73.84500000000001,0
being defined. So you will hear people throw around all.|,People will often speak about definitions.|,1,31.545000000000016,0
being defined. So you will hear people throw around all.|,Definitions are often discussed by people.|,2,31.545000000000016,0
being defined. So you will hear people throw around all.|,Definitions are frequently debated by individuals.|,3,-38.954999999999984,0
being defined. So you will hear people throw around all.|,People frequently engage in discussions about what is defined.|,4,37.900000000000034,0
being defined. So you will hear people throw around all.|,People often talk about defining things.|,5,45.64500000000001,0
being defined. So you will hear people throw around all.|,Many individuals frequently talk about definitions.|,6,-38.954999999999984,0
being defined. So you will hear people throw around all.|,People often mention definitions in their conversations.|,7,6.35857142857148,0
being defined. So you will hear people throw around all.|,People often discuss definitions.|,8,-8.724999999999994,0
being defined. So you will hear people throw around all.|,People frequently talk about definitions.|,9,-1.2799999999999727,0
being defined. So you will hear people throw around all.|,People talk about definitions.|,1,12.425000000000011,1
kind of have floating evolving meanings right now. Part of.|,Meanings are changing now.,9,75.87500000000001,0
kind of have floating evolving meanings right now. Part of.|,The meanings are currently changing.,8,66.40000000000003,0
kind of have floating evolving meanings right now. Part of.|,Words now have changing meanings.,7,83.32000000000004,0
kind of have floating evolving meanings right now. Part of.|,"Presently, meanings are in flux.",6,66.40000000000003,1
kind of have floating evolving meanings right now. Part of.|,"At this moment, meanings are not fixed.",5,90.95857142857145,0
kind of have floating evolving meanings right now. Part of.|,Meanings are currently unstable and shifting.,4,31.545000000000016,0
kind of have floating evolving meanings right now. Part of.|,There are meanings that are evolving and unstable now.,3,66.10000000000002,0
kind of have floating evolving meanings right now. Part of.|,The current period is marked by meanings that are both unstable and evolving.,2,56.97846153846157,0
kind of have floating evolving meanings right now. Part of.|,Meanings at this time exhibit instability and continuous evolution.,1,-9.099999999999994,0
kind of have floating evolving meanings right now. Part of.|,"At this period, meanings are floating, evolving unpredictably, and lack steadfastness.",1,18.77909090909094,1
Academia as far as we know. It came from a.|,"Academic studies, which we know. Originating from a.|",1,33.57500000000002,0
Academia as far as we know. It came from a.|,Academics that we know are from there.|,2,78.87285714285717,0
Academia as far as we know. It came from a.|,The academia known to us. It originated.|,3,21.99678571428572,0
Academia as far as we know. It came from a.|,Academics we are aware of have a start.|,4,71.81500000000001,0
Academia as far as we know. It came from a.|,"Academia, as known to us, has origins.|",5,54.70142857142861,1
Academia as far as we know. It came from a.|,What we know about academia originated.|,6,-10.754999999999995,0
Academia as far as we know. It came from a.|,We know it as academia and it comes from.|,7,75.50000000000003,1
Academia as far as we know. It came from a.|,"We know about academia, and it came from.|",8,71.81500000000001,0
Academia as far as we know. It came from a.|,We know academia comes from.|,9,49.48000000000002,0
Academia as far as we know. It came from a.|,We know academia is from.|,1,49.48000000000002,0
community of enthusiasts on the internet. And so it doesn't.|,Online groups of fans.,9,97.025,1
community of enthusiasts on the internet. And so it doesn't.|,Fans gather online.,8,62.79000000000002,0
community of enthusiasts on the internet. And so it doesn't.|,Enthusiasts form online groups.,7,33.57500000000002,0
community of enthusiasts on the internet. And so it doesn't.|,Online fan communities form.,6,33.57500000000002,0
community of enthusiasts on the internet. And so it doesn't.|,Enthusiast groups form on the web.,5,73.84500000000001,0
community of enthusiasts on the internet. And so it doesn't.|,Groups of fans connect online.,4,83.32000000000004,0
community of enthusiasts on the internet. And so it doesn't.|,Online communities of enthusiasts form and gather.,3,18.44428571428574,0
community of enthusiasts on the internet. And so it doesn't.|,A community of online enthusiasts forms and gathers frequently.,2,19.100000000000023,0
community of enthusiasts on the internet. And so it doesn't.|,Enthusiasts form a community on the internet which gathers frequently despite challenges.,1,11.355000000000018,1
necessarily have the same basis and rigor that we might.,They must have the same foundation and thoroughness as we expect.,1,72.61545454545457,0
necessarily have the same basis and rigor that we might.,They should maintain the same basis and rigor expected by us.,5,72.61545454545457,0
necessarily have the same basis and rigor that we might.,They must have the same foundation and thoroughness as we expect.,6,72.61545454545457,0
necessarily have the same basis and rigor that we might.,They need to have the same thoroughness and basis as we expect.,7,81.85500000000002,0
necessarily have the same basis and rigor that we might.,They have to hold the same foundation and rigor we expect.,8,80.30636363636367,1
necessarily have the same basis and rigor that we might.,They must have the same basis and rigor as we expect.,9,87.99727272727276,0
necessarily have the same basis and rigor that we might.,They must have the same support and thoroughness we expect.,1,78.24500000000002,0
Expect for most of our academic fields of study. It's.|,Academic studies generally expect rigorous work.,1,-24.85499999999996,0
Expect for most of our academic fields of study. It's.|,Most academic fields demand high standards.,2,45.64500000000001,0
Expect for most of our academic fields of study. It's.|,Rigorous work is expected in most academic fields.,3,40.09,0
Expect for most of our academic fields of study. It's.|,High standards are required in most academic areas.,4,40.09,1
Expect for most of our academic fields of study. It's.|,Academic fields often require diligence and high standards.,5,18.940000000000026,0
Expect for most of our academic fields of study. It's.|,Most academic fields expect students to work hard and meet high standards.,6,67.75500000000001,1
Expect for most of our academic fields of study. It's.|,Students in most academic fields are expected to meet high standards.,7,57.23363636363638,0
Expect for most of our academic fields of study. It's.|,"In academic studies, high standards are the norm.",8,61.24000000000001,0
Expect for most of our academic fields of study. It's.|,Academic studies usually have high expectations.,9,-24.85499999999996,0
Expect for most of our academic fields of study. It's.|,Most academic studies set high expectations.,1,17.44500000000002,1
totally OK. We're figuring it out as we go along.,This is acceptable. We are learning as we progress.,1,70.66750000000002,0
totally OK. We're figuring it out as we go along.,This is fine. We're learning as we go.,2,107.60000000000001,0
totally OK. We're figuring it out as we go along.,It's acceptable. We learn as we proceed.,3,70.33964285714288,0
totally OK. We're figuring it out as we go along.,It's alright. We're learning as we go.,4,94.51107142857143,0
totally OK. We're figuring it out as we go along.,It's okay. We're figuring it out as we go.,5,89.46750000000003,0
totally OK. We're figuring it out as we go along.,It's fine. We're figuring it out as we go.,6,98.8675,0
totally OK. We're figuring it out as we go along.,It is okay. We are figuring it out.,7,86.45000000000002,0
totally OK. We're figuring it out as we go along.,It's OK. We're figuring it out.,9,90.99000000000004,1
And academia is really embracing this topic. So if any.|,Academia is seriously exploring this area.,1,-38.954999999999984,0
And academia is really embracing this topic. So if any.|,Academia is increasingly focused on this subject.,2,6.35857142857148,0
