Sentence Number,Sentence
86,So here we have another example.
87,Here is a face.
88,"If we run the software, it says, you see surprise."
89,The mouth is open.
90,So it's detecting perfectly well a very prototypical expression of surprise.
91,"But when we look at the context, we realize that it's not surprise, right?"
92,"So the thing is that this kit, we see a facial expression here but has nothing to do with the emotion, it's related to the action he is performing."
93,So some of our facial expressions have nothing to do with our emotions but with other things.
94,"For instance, when you talk, you change a lot your facial expression."
95,It has nothing to do with your emotion.
96,And another difficulty is giving the correct emotional meaning to an isolated facial expression.
97,"So I'm going to show you some examples of experiments that were performed by psychologists that were studying what's the level of agreement in giving an emotional label to a specific facial expression, like here."
98,"So here we see clearly a facial expression, but if I ask you, what's this facial expression communicating?"
99,"Well, you might think maybe anger, maybe contempt, this gas fear."
100,"So usually people agree that this is a negative, valence emotion, but it's not clear what category."
101,"The thing is that if I give you some context suddenly, we probably will agree that this is disgust and this is what happens."
102,People agree here that the face is disgust.
103,"But if you give you a different context, then people strongly agree that this is anger."
104,So they have a lot of examples and they run a lot of experiments in using the exact same facial expression in different contexts.
105,And they realize that the context strongly influences the way we perceive emotions.
106,"So this is the motivation of one of the projects I'm working on that started here in Barcelona and now I'm still working on it in collaboration with the effective computing group at MIT media lab and the idea behind this project is okay, we know there's a lot of information in the face, that's true, but for developing machines that accurately recognize emotions, we can just rely on the face."
107,"We need to understand the context of the person and in particularly we are working in the scene context, in the situation of the person."
108,And the interesting thing of working in this type of context is that suddenly you can say much more about the emotion.
109,"So maybe with the expression, you can say something about basic emotions, but there are some secondary emotions or social emotions that are very interesting that if you don't see the context, you cannot say anything about them."
110,"Like here, once you see the context, you might say that this person is feeling confident."
111,"When you define confidence as feeling of being certain, conviction that an outcome will be favorable, encouraged, or proud."
112,So that's the idea of the emotion recognition in context project.
113,"So what we want to do is we want to go from images like this one, so not just relating on the face and looking also at the context of the person, trying to recognize emotions, and for that, so this is a computer vision project."
114,We know that in computer vision nowadays what is working best is deep learning models.
115,"So our idea was, okay, let's try to model this problem using deep learning."
116,"So first challenge that we faced, we didn't have any training data, of course, because as we said before, usually all the research on emotion recognition from images was focused on the face, so we didn't have any data set where we could see people in their context."
117,So we were collecting a lot of images.
118,"Some of them were manually downloaded from search engines like Google, and other images came from public data sets that were already labeled with the bounding box of the person."
119,"And the images we collected are images like the ones that you see here, so people doing different things in very different situations."
120,And what we did is we created annotation interfaces like this one that I'm showing you here.
121,So where we asked annotators to label what emotion category they thought this person was expressing in this specific situation.
122,We had two different interfaces.
123,This is the one of emotion categories.
124,And we have another one for continuous dimensions.
125,So there are different ways of representing emotions in a machine.
126,Categories is one of the most common and emotional dimensions is the other one.
127,Maybe it's less popular.
128,"But the idea of the continuous dimensions is to label according to valence, which is is a dimension that just measures whether someone is feeling something positive or something negative."
129,"A rousal is measuring whether someone is in calm or very ready to act, very agitated."
130,And then dominance that is measuring whether someone is feeling dominated by the situation or the opposite is that someone is feeling in control of the situation.
131,"And then we also collected some demographics of the person in the picture, like the gender or the estimated age."
132,And we use cloud sourcing for collecting all of these annotations.
133,"In particular, we use the platform Amazon Mechanical Turk."
134,"And after this process, we came up with what we call the emoric data set, which is a collection of these images, 23,000 annotated images, 34,000 annotated people."
135,"Because for some images, we have multiple people annotated."
136,I'm going to show you a little bit about the deep learning model that we developed as a baseline to model this problem.
137,"So what we did, it's a very simple model."
138,This is the representation of the architecture.
139,"So basically, we have as input the image, and we know the location of the target person that we are trying to recognize the emotion of."
140,And then we have one module that is extracting person features.
141,So it's fully convolutional and we extract features of the bounding box containing the person.
142,And then we have another module which is the context features that takes as an input the whole image and extract also enough using a fully convolutional network features about the context.
143,And then we merge these features.
144,We have one fully connected layer.
145,"And we separate the recognition of balance, and also land dominance, and the emotion categories."
146,"And the type of loss function that we use is regression, because from our experiments, we saw that it was the best way to model our data."
147,So these are the type of results that we get.
148,So these are the type of images that we get.
149,"This is recognition of anticipation, excitement, engagement, and confidence in this case."
150,"This is another example of recognition, pleasure, happiness, and affection in this other picture."
151,"Another one pretty challenging that here is, it recognized happiness, the system, but here you don't see the face."
152,So clearly somehow it's extracting some information about the context and the situation.
153,"Here another interesting example where for this guy, and the recognition of emotions was like pleasure, affection and happiness, but for the other person, it was like a mess, so it recognized almost everything possible, and so this is showing that not all the information is coming just from the context, but it's the combination of the context and the person which actually creates the output."
154,"So the truth is that this system is not working very well, so this is the first attempt in trying to recognize emotions using not just face, but using person and situational context."
155,So this is our first baseline.
156,We are progressing this project in different directions.
157,"So the Red House restaurant is a restaurant in Cambridge, Massachusetts in USA."
158,"So if you go to this restaurant and you never went to this restaurant and you want to know how this restaurant works, so you Google this restaurant and you get all of these reviews."
159,So this is one example of a review of the Red House restaurant.
160,"Okay, so let's focus in a piece of this review."
161,review.
162,"So here it says, what's a delight, terrific menu, great craft, cocktails, unpretentious atmosphere of mostly locals and college professors chatting over dinner."
163,"Okay, so we read this type of reviews and from these reviews, we decide whether we want to go to the restaurant or not."
164,Somehow we capture the idea of whether this restaurant is good or not.
165,"But it is not saying, this is a good restaurant, go there or this is not a good restaurant, don't go there."
166,"So from this type of information, can you tell me if the person that wrote this text was feeling something positive or something negative about the restaurant?"
167,Is it positive?
168,It's very clear.
169,"For us, it's very easy to do."
170,So one thing that we can think is maybe we can develop algorithms that do the same.
171,"So actually, there's a lot of research in trying to capture sentiment from text."
172,This problem is called sentiment analysis in text.
173,And this is one of the state of the art models.
174,It's called deep moji.
175,"It was developed in MIT media lab, not in effective computing group, which is the group I'm working on."
176,It was developed on social machines.
177,And the idea behind this method is quite simple.
178,So there's large-scale data behind this and deep learning.
179,"So basically, they took 1,200 million tweets containing emojis."
180,"So they selected the most common, the 64 most common emojis, and they were collecting a huge amount of tweets that contained these emojis."
181,And they formulated the following problem.
182,"So taking as an input the text, we want to predict the emoji of this text."
183,"And when, so they have a deep learning architecture, you can actually, the code is available and they have also a demo online."
184,So this is a screen capture of the demo.
185,"So if you enter the text I showed you before, you'll see this type of output."
186,So this is the emojis that are predicted from the text.
187,And what is interesting is that you see here different intensities of the words.
188,This is because the deep learning model has an attention layer.
189,So it can capture the contribution of the different words to this prediction.
190,"And actually, this demo is very cool, because you can cross the different words and see how the emojis change when you remove some words."
191,So this is working pretty well.
192,"And there are other models that are similar to this one that also work pretty well for tech sentiment analysis."""
