original_sentence,summary,level
"All of that is emotional information that we can capture just with one image. We have this remarkable capacity for recognizing emotions. Why is this capacity useful for us? It's very important in our social interactions. When we interact with people, we are constantly making guesses about how others feel in order to adapt the way we communicate to others' emotions.",Recognizing emotions from one image provides emotional information critical for social interactions and communication adjustments.,2
"All of that is emotional information that we can capture just with one image. We have this remarkable capacity for recognizing emotions. Why is this capacity useful for us? It's very important in our social interactions. When we interact with people, we are constantly making guesses about how others feel in order to adapt the way we communicate to others' emotions.",Emotional recognition from an image gives information crucial for social interaction and communication adjustment.,1
"It's very important to detect people's needs as well, and also to predict people's reactions. And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes. So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here?","Identifying people's needs and predicting their reactions is crucial. Emotions significantly impact our cognitive processes, such as attention, memory, and learning. Given the importance of emotions, envisioning future AI becomes pertinent. How many have seen any of these movies?",1
"It's very important to detect people's needs as well, and also to predict people's reactions. And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes. So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here?","It's crucial to detect people's needs and predict their reactions. Emotions influence cognition, affecting attention, memory, and learning. How many have seen these movies?",2
"It's very important to detect people's needs as well, and also to predict people's reactions. And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes. So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here?","Detecting needs and predicting reactions are essential. Emotions affect attention, memory, and learning. Have you seen these movies?",3
"It's very important to detect people's needs as well, and also to predict people's reactions. And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes. So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here?","It is important to detect needs and predict reactions. Emotions affect attention, memory, and learning. How many have seen these movies?",4
"It's very important to detect people's needs as well, and also to predict people's reactions. And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes. So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here?","Detecting needs and predicting reactions is vital. Emotions affect thinking processes, attention, memory, and learning. Seen these movies?",5
"It's very important to detect people's needs as well, and also to predict people's reactions. And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes. So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here?","It's vital to understand needs and predict reactions. Emotions influence thinking, attention, memory, and learning. Seen these movies?",6
"It's very important to detect people's needs as well, and also to predict people's reactions. And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes. So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here?","Know needs, predict reactions. Emotions affect thinking, attention, learning. Seen the movies?",8
"It's very important to detect people's needs as well, and also to predict people's reactions. And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes. So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here?","Know needs, predict reactions. Emotions affect thinking, memory, learning. Seen the movies?",9
"So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel.|","Most have seen at least one future machine movie with emotional intelligence. Emotions are complex, hard to understand, and it's difficult to measure how others feel.|",1
"So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel.|",You know future machines in movies have emotional intelligence. Emotions are complex and it's tough to understand how others feel.|,2
"So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel.|","Machines in movies have emotional intelligence, but emotions are complex and hard to understand.|",3
"So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel.|",Future machines in movies have emotional intelligence. Emotions are tough to understand.|,4
"So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel.|",Machines in future movies have emotional intelligence. Emotions are complex.|,5
"So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel.|",Machines in future movies are emotionally intelligent. Understanding emotions is hard.|,6
"So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel.|",Movies feature future machines with emotional intelligence. Emotions are tricky.|,7
"So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel.|",Future movies show machines with emotions. Emotions are complex.|,8
"So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right? Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel.|",Future movies show machines with emotional intelligence.|,9
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel.","Understanding emotions is complex for machines because emotions cause many body changes. When nervous, our heart and respiration rates go up, we sweat, and our facial expressions, gaze, pupils, blood pressure, postures, and gestures all change.",1
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel.","Machines find it hard to understand emotions because of the many changes in the body when we're nervous, such as heart and respiration rate increases, sweating, and changes in facial expressions, gaze, pupils, blood pressure, and gestures.",2
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel.","Machines can't easily recognize emotions because body signs change a lot when we're nervous, including heart and breath rate, sweating, facial expressions, gaze, pupils, blood pressure, and gestures.",3
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel.","Machines struggle with understanding emotions because body signs change with feelings, like heart and breath rate, sweating, gaze, facial expressions, pupils, blood pressure, and gestures.",4
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel.","Machines find emotions hard to understand because body signs like heart rate, breath rate, sweating, facial expressions, gaze, pupils, blood pressure, and gestures change.",5
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel.","Machines struggle because our emotions cause many body changes, like heart rate, breath rate, sweat, facial expressions, gaze, pupils, blood pressure, and gestures.",6
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel.","Machines find emotions hard to understand because body changes like heart rate, breath rate, sweating, expressions, gaze, pupils, blood pressure, and gestures differ.",7
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel.","Machines struggle to grasp emotions because many body changes occur, like heart rate, breath rate, sweat, expressions, gaze, pupils, blood pressure, and gestures.",8
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures. We use different gestures depending on how we feel.","Machines struggle with emotions because body signs like heart rate, breath rate, sweat, expressions, gaze, pupils, blood pressure, and gestures change.",9
"Our voice can change as well, the way we write, the way we type in our phones, for instance.",The way we speak and write can change.,9
So there are a lot of signals that change with our emotions.,Many signals change with our emotions.,9
So what we can do is all of these signals can be captured with different types of sensors.,Many sensors can capture these signals.,9
"And then we capture these signals, and if we have data, label data with emotions,",We capture signals and label data with emotions.,8
What we can do is we can try to find patterns in these signals that correlate with emotions and develop machine learning algorithms or systems that can recognize the emotions using this type of information.,We can find patterns in signals and develop machine learning to recognize emotions.,6
The same way we process other type of information.,Just like we process other information.,8
"Our voice can change as well, the way we write, the way we type in our phones, for instance.",Our voice and writing change with emotions.,7
So there are a lot of signals that change with our emotions.,Emotions change many signals in us.,7
So what we can do is all of these signals can be captured with different types of sensors.,Different sensors can capture these signals.,8
"And then we capture these signals, and if we have data, label data with emotions,","We capture signals, label them with emotions.",7
"I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information. And I'm going to start with vision modality, which is one of my areas of expertise. So visual modality, cameras. What has been done so far for recognizing emotions from information captured by cameras? Any idea?","Initially, I will discuss how we capture emotional data, starting with my expertise in visual modality and cameras. What has been done to recognize emotions through visual data?",1
"I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information. And I'm going to start with vision modality, which is one of my areas of expertise. So visual modality, cameras. What has been done so far for recognizing emotions from information captured by cameras? Any idea?","I will start with vision modality to capture emotional information. With cameras, how has emotion recognition been achieved?",2
"I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information. And I'm going to start with vision modality, which is one of my areas of expertise. So visual modality, cameras. What has been done so far for recognizing emotions from information captured by cameras? Any idea?",We will look at capturing emotions with vision modality. How have cameras been used for emotion recognition so far?,4
"I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information. And I'm going to start with vision modality, which is one of my areas of expertise. So visual modality, cameras. What has been done so far for recognizing emotions from information captured by cameras? Any idea?","Let's examine how to capture emotions using vision modality, especially with cameras. How has emotion recognition been approached?",5
"I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information. And I'm going to start with vision modality, which is one of my areas of expertise. So visual modality, cameras. What has been done so far for recognizing emotions from information captured by cameras? Any idea?",I will discuss how we capture emotional data using visual modality and cameras. What's been done for recognizing emotions?,7
"I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information. And I'm going to start with vision modality, which is one of my areas of expertise. So visual modality, cameras. What has been done so far for recognizing emotions from information captured by cameras? Any idea?",I'll discuss capturing emotional information with visual modality. How do cameras recognize emotions?,8
"I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information. And I'm going to start with vision modality, which is one of my areas of expertise. So visual modality, cameras. What has been done so far for recognizing emotions from information captured by cameras? Any idea?",Let's focus on how we capture emotions with cameras. What has been done in this area?,9
"I'm going to focus first on the, so I'm going to talk about some examples of how can we capture this emotional information. And I'm going to start with vision modality, which is one of my areas of expertise. So visual modality, cameras. What has been done so far for recognizing emotions from information captured by cameras? Any idea?",How do we capture emotions with cameras? What has been done in this field?,1
"What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like 10 years ago now. And this was a completely unsolved problem. So I was working a little bit in this type of software, trying to recognize key points in the faces, working with images acquired under controlled environments, and nothing was working by then.",The primary method in computer vision to recognize emotions is facial expression.,9
"What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like 10 years ago now. And this was a completely unsolved problem. So I was working a little bit in this type of software, trying to recognize key points in the faces, working with images acquired under controlled environments, and nothing was working by then.",The main research theme in computer vision for emotion recognition is facial expressions.,8
"What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like 10 years ago now. And this was a completely unsolved problem. So I was working a little bit in this type of software, trying to recognize key points in the faces, working with images acquired under controlled environments, and nothing was working by then.",The most frequent technique to recognize emotions in computer vision is facial expressions.,7
"What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like 10 years ago now. And this was a completely unsolved problem. So I was working a little bit in this type of software, trying to recognize key points in the faces, working with images acquired under controlled environments, and nothing was working by then.",Facial expression analysis is widely used in computer vision research for emotion recognition.,6
"What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like 10 years ago now. And this was a completely unsolved problem. So I was working a little bit in this type of software, trying to recognize key points in the faces, working with images acquired under controlled environments, and nothing was working by then.",Facial expressions are predominant in computer vision research for recognizing emotions.,5
"What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like 10 years ago now. And this was a completely unsolved problem. So I was working a little bit in this type of software, trying to recognize key points in the faces, working with images acquired under controlled environments, and nothing was working by then.",Recognizing emotions through facial expressions is a key topic in computer vision research.,4
"What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like 10 years ago now. And this was a completely unsolved problem. So I was working a little bit in this type of software, trying to recognize key points in the faces, working with images acquired under controlled environments, and nothing was working by then.",Emotion recognition via facial expressions is a significant area of computer vision research.,3
"What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like 10 years ago now. And this was a completely unsolved problem. So I was working a little bit in this type of software, trying to recognize key points in the faces, working with images acquired under controlled environments, and nothing was working by then.",Computer vision research significantly focuses on recognizing emotions through facial expressions.,2
"What's the most popular research from a computer vision perspective to recognize emotions? So facial expression is actually the most common approach to recognize emotions. So when I was doing my PhD, I finished like 10 years ago now. And this was a completely unsolved problem. So I was working a little bit in this type of software, trying to recognize key points in the faces, working with images acquired under controlled environments, and nothing was working by then.",Recognizing emotions through facial expressions has been a major unsolved problem in computer vision.,1
"So now after 10 years, we have these softwares that work very well in recognizing some of the key points on your face, tracking these key points, and doing some matching between the emotions, so the expressions that are observed and the possible emotions that they are expressing.","After a decade, software effectively identifies facial key points and matches them to possible emotions.",1
"This software works very well, so it's very well at detecting the patterns, it's very while detecting the key points, it's complicated to associate the correct emotion to an expression, a phase expression, but it works pretty well in some applications.",This software detects patterns and key points well but struggles to accurately match expressions to emotions.,3
"It's being used for test users, for instance, but the problem of this software is that it does not work in the wild.",It is used for test users but fails to work in uncontrolled environments.,4
So we would like to have machines that can recognize emotions in any condition.,We want machines that can detect emotions in all conditions.,5
"So now after 10 years, we have these softwares that work very well in recognizing some of the key points on your face, tracking these key points, and doing some matching between the emotions, so the expressions that are observed and the possible emotions that they are expressing.",Advanced software now accurately tracks facial points and matches them to emotions.,6
"This software works very well, so it's very well at detecting the patterns, it's very while detecting the key points, it's complicated to associate the correct emotion to an expression, a phase expression, but it works pretty well in some applications.",The software detects patterns well but struggles to match expressions with emotions.,8
"It's being used for test users, for instance, but the problem of this software is that it does not work in the wild.","Used in tests, the software fails in uncontrolled settings.",9
So we would like to have machines that can recognize emotions in any condition.,We want machines to detect emotions everywhere.,1
"So, if we go back to this image that I showed you before, what happens when we run this type of software here? So if we run this type of commercial software, we can detect very well the face of this woman, we can detect the key points, and the software is answering in this case that this woman is feeling happiness because it detects a smile with a strong confidence, it detects attention. I don't know exactly how this detection of attention works here, but actually it's pretty accurate. But what happens with him? So what happens with him is that the system is not working.","The software detects the face, key points, smile, and attention of the woman. It shows happiness but fails with him.",6
"So here we have another example. Here is a face. If we run the software, it says, you see surprise. The mouth is open. So it's detecting perfectly well a very prototypical expression of surprise.","We have another face example. The software detects surprise with an open mouth, a typical expression.",1
"So here we have another example. Here is a face. If we run the software, it says, you see surprise. The mouth is open. So it's detecting perfectly well a very prototypical expression of surprise.",The software detects a face showing surprise with an open mouth; a common expression.,2
"So here we have another example. Here is a face. If we run the software, it says, you see surprise. The mouth is open. So it's detecting perfectly well a very prototypical expression of surprise.",Another face example shows surprise detected by the software.,3
"So here we have another example. Here is a face. If we run the software, it says, you see surprise. The mouth is open. So it's detecting perfectly well a very prototypical expression of surprise.","The software sees a face that shows surprise, mouth open.",4
"So here we have another example. Here is a face. If we run the software, it says, you see surprise. The mouth is open. So it's detecting perfectly well a very prototypical expression of surprise.","Software detects a face showing surprise, mouth open.",5
"So here we have another example. Here is a face. If we run the software, it says, you see surprise. The mouth is open. So it's detecting perfectly well a very prototypical expression of surprise.",Face showing surprise is detected by software.,6
"So here we have another example. Here is a face. If we run the software, it says, you see surprise. The mouth is open. So it's detecting perfectly well a very prototypical expression of surprise.",Software detects surprise on face.,7
"So here we have another example. Here is a face. If we run the software, it says, you see surprise. The mouth is open. So it's detecting perfectly well a very prototypical expression of surprise.",Software sees a surprised face.,8
"So here we have another example. Here is a face. If we run the software, it says, you see surprise. The mouth is open. So it's detecting perfectly well a very prototypical expression of surprise.",Software sees surprise.,9
"But when we look at the context, we realize that it's not surprise, right? So the thing is that this kit, we see a facial expression here but has nothing to do with the emotion, it's related to the action he is performing. So some of our facial expressions have nothing to do with our emotions but with other things. For instance, when you talk, you change a lot your facial expression. It has nothing to do with your emotion.","Context shows the facial expression is not surprising and is related to the action being performed, not emotion. Some expressions aren't emotional but functional, like those while talking.",9
"But when we look at the context, we realize that it's not surprise, right? So the thing is that this kit, we see a facial expression here but has nothing to do with the emotion, it's related to the action he is performing. So some of our facial expressions have nothing to do with our emotions but with other things. For instance, when you talk, you change a lot your facial expression. It has nothing to do with your emotion.","The context shows the surprising expression is about actions, not emotions. Some facial expressions link to actions like talking, not emotions.",3
And another difficulty is giving the correct emotional meaning to an isolated facial expression.,Assigning the right emotion to a facial expression is tough.,9
"So I'm going to show you some examples of experiments that were performed by psychologists that were studying what's the level of agreement in giving an emotional label to a specific facial expression, like here.",Here are experiments by psychologists on agreement in labeling emotions in facial expressions.,4
"So here we see clearly a facial expression, but if I ask you, what's this facial expression communicating? Well, you might think maybe anger, maybe contempt, this gas fear.|","What emotion does this facial expression show? Anger, contempt, or fear?",8
"So usually people agree that this is a negative, valence emotion, but it's not clear what category.|","People generally agree it's a negative emotion, but the exact category is unclear.",6
And another difficulty is giving the correct emotional meaning to an isolated facial expression.|,Another challenge is identifying the correct emotion in a single facial expression.,5
"So I'm going to show you some examples of experiments that were performed by psychologists that were studying what's the level of agreement in giving an emotional label to a specific facial expression, like here.|",I will show experiments by psychologists on agreement in labeling a facial expression.,7
"So here we see clearly a facial expression, but if I ask you, what's this facial expression communicating? Well, you might think maybe anger, maybe contempt, this gas fear.|","Here is a facial expression; does it show anger, contempt, or fear?",8
"So usually people agree that this is a negative, valence emotion, but it's not clear what category.|","People typically agree it shows a negative emotion, though the category is fuzzy.",6
And another difficulty is giving the correct emotional meaning to an isolated facial expression.|,It is hard to give the right emotional meaning to a single facial expression.,5
"So I'm going to show you some examples of experiments that were performed by psychologists that were studying what's the level of agreement in giving an emotional label to a specific facial expression, like here.|",Here are psychologist experiments on agreement in emotional labeling of expressions.,4
"The thing is that if I give you some context suddenly, we probably will agree that this is disgust and this is what happens.","With sudden context, we likely agree it is disgust.",5
People agree here that the face is disgust.,People agree the face shows disgust.,7
"But if you give you a different context, then people strongly agree that this is anger.","In a different context, people agree it is anger.",6
So they have a lot of examples and they run a lot of experiments in using the exact same facial expression in different contexts.,They have many examples and do experiments using the same facial expressions in different contexts.,4
And they realize that the context strongly influences the way we perceive emotions.,They find that context strongly affects how we perceive emotions.,6
"So this is the motivation of one of the projects I'm working on that started here in Barcelona and now I'm still working on it in collaboration with the effective computing group at MIT media lab and the idea behind this project is okay, we know there's a lot of information in the face, that's true, but for developing machines that accurately recognize emotions, we can just rely on the face.","This project, started in Barcelona with MIT, aims to make machines understand emotions not just from faces but also from context.",9
"We need to understand the context of the person and in particularly we are working in the scene context, in the situation of the person.",Understanding the scene context is critical for recognizing a person's emotions.,8
And the interesting thing of working in this type of context is that suddenly you can say much more about the emotion.,Analyzing context provides deeper insights about emotions.,8
"So maybe with the expression, you can say something about basic emotions, but there are some secondary emotions or social emotions that are very interesting that if you don't see the context, you cannot say anything about them.","Facial expressions reveal basic emotions, but context is needed for secondary or social emotions.",6
"Like here, once you see the context, you might say that this person is feeling confident.","Seeing context can reveal emotions, like confidence.",9
"And the idea behind this project is okay, we know there's a lot of information in the face, that's true, but for developing machines that accurately recognize emotions, we can just rely on the face.","To improve emotion recognition, machines need the context, not just facial data.",7
"In particularly we are working in the scene context, in the situation of the person.",We're focusing on the person's situational context.,8
The interesting thing of working in this type of context is that suddenly you can say much more about the emotion.,Context allows for a richer understanding of emotion.,8
"For developing machines that accurately recognize emotions, we can just rely on the face.",Reliable emotion recognition requires more than just facial data.,9
"There are some secondary emotions or social emotions that are very interesting that if you don't see the context, you cannot say anything about them.","Without context, secondary and social emotions cannot be understood.",8
"When you define confidence as feeling of being certain, conviction that an outcome will be favorable, encouraged, or proud. So that's the idea of the emotion recognition in context project. So what we want to do is we want to go from images like this one, so not just relating on the face and looking also at the context of the person, trying to recognize emotions, and for that, so this is a computer vision project. We know that in computer vision nowadays what is working best is deep learning models. So our idea was, okay, let's try to model this problem using deep learning.","Defining confidence involves feeling sure, convinced of favorable outcomes, encouraged, or proud. This forms the basis of our emotion recognition project. We aim to use images for emotion recognition, considering the context, not just facial features. This is a computer vision project, and deep learning is the most effective approach currently. So we plan to use deep learning to tackle this issue.",1
