original_sentence,summary,level,FRE
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure.","The person has vanished from both the internet and the world but has innovated technology resulting in billions of dollars and new problem-solving ideas. This class will focus on technology, not its applications.",2,36.26931818181819
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure.","The person disappeared from the internet and the world but created valuable technology that inspired widely. This class will cover technology, not applications.",3,25.962500000000034
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure.","This innovator disappeared online but created technology worth billions, inspiring new solutions beyond payments. The class will focus on technology and infrastructure.",4,11.088181818181852
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure.","This person disappeared online but created technology worth billions, inspiring solutions beyond payments. This class focuses on technology, not applications.",5,6.335000000000008
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure.","The person vanished online but created billion-dollar technology inspiring new solutions. This class covers technology, not applications.",6,-0.8513235294117578
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure.","The person vanished but created billion-dollar technology inspiring new solutions. This class covers technology, not applications.",7,-2.2099999999999795
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure.","They vanished but created valuable technology inspiring new solutions. This class covers technology, not applications.",8,-3.8174999999999955
"This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure.","They disappeared but created technology worth billions inspiring solutions. This class covers tech, not apps.",9,35.662499999999994
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined.","This is a guide on creating cryptocurrencies, the key components and techniques, and their applications. However, digital identity and health care records are not covered. The focus is on the technology and the difference between cryptocurrencies and regular currencies. Terms in this space are evolving.",9,37.49625000000003
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined.","You'll learn the process of creating a cryptocurrency, its key parts, essential techniques, and applications. Digital identity and health records are excluded. We'll discuss technology and differences with regular currencies. The terms are still evolving.",8,23.919464285714326
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined.","You'll learn how to create a cryptocurrency, its key parts, important techniques, and possible applications. We will not cover digital identity or health records, just the technology and differences from regular currencies. Terms are still evolving.",7,30.155
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined.","You will learn about creating a cryptocurrency, its components, and techniques, and how to apply it. Digital identity and health records are not included. We will discuss technology and differences from regular currencies. Terms in this area are still developing.",6,35.94500000000002
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined.","You will be taught how to make a cryptocurrency, its components, techniques, and applications. Digital identity and health care records are excluded. The focus will be on technology and differences from regular currencies. Terms are currently evolving.",5,35.10570945945949
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined.","Learn the creation, components, and techniques of a cryptocurrency, including its applications. Topics like digital identity and health records are excluded. We'll focus on technology differences from regular currencies. The terms are still being established.",4,21.502321428571435
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined.","You will learn to create a cryptocurrency, understand its parts, essential techniques, and applications. Excluded are topics like digital identity and health records. Focus will be the technology and differences from regular currencies. Terms are still defined.",3,32.819222972972995
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined.","In this lesson, you will learn about creating a cryptocurrency, its important parts, the techniques involved, and potential applications. We will not cover digital identity or health care records, focusing instead on the technology itself and its differences from regular currencies. The terms in this space are still being formalized.",2,32.562333333333356
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology. So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined.","This guide will teach how to create a cryptocurrency, covering its components, crucial techniques, and possible applications. We will not involve digital identity or health care records, instead focusing on the core technology and its distinctions from traditional currencies. The terminology in this field is still being clarified.",1,28.444999999999993
"So you will hear people throw around all sorts of terms, cryptocurrency, blockchain, consensus.",You will hear terms like cryptocurrency and blockchain frequently.,9,47.30000000000004
And these words are kind of have floating evolving meanings right now.,These terms currently have evolving meanings.,9,45.64500000000001
"Part of that is because Bitcoin, the first cryptocurrency, didn't come from academia as far as we know.","Bitcoin, the first cryptocurrency, didn't come from academia.",7,18.940000000000026
It came from a community of enthusiasts on the internet.,It originated from online enthusiasts.,7,-1.2799999999999727
And so it doesn't necessarily have the same basis and rigor that we might expect for most of our academic fields of study.,"Thus, it lacks the standard academic rigor.",6,54.70142857142861
It's totally OK. We're figuring it out as we go along.,It's fine; we are learning as we go.,8,92.965
"So you will hear people throw around all sorts of terms, cryptocurrency, blockchain, consensus.",You will hear terms like cryptocurrency frequently.,8,42.61571428571432
And these words are kind of have floating evolving meanings right now.,These terms have changing meanings currently.,6,73.84500000000001
"Part of that is because Bitcoin, the first cryptocurrency, didn't come from academia as far as we know.",Bitcoin wasn't created in academia but by enthusiasts.,5,18.940000000000026
It came from a community of enthusiasts on the internet.,It was developed by internet enthusiasts.,6,31.545000000000016
And academia is really embracing this topic.,Academia widely accepts this topic.,9,15.640000000000015
"So if any of you are graduate students who are looking for an area in which to do research, I think basically the number of papers published on cryptocurrencies and blockchain technology in respected academic venues is doubling every year.",Graduate students seeking research topics should note that publications on cryptocurrencies and blockchain technology double yearly.,6,5.532499999999999
So there's huge opportunity here.,There is a large opportunity here.,8,59.745000000000005
So cryptocurrencies are not regular currencies.,Cryptocurrencies differ from regular currencies.,7,-35.11999999999995
"They're not a dollar or a pound or a euro, what we normally think of as currency.","They are not like dollars, pounds, or euros.",8,92.965
"So if any of you are graduate students who are looking for an area in which to do research, I think basically the number of papers published on cryptocurrencies and blockchain technology in respected academic venues is doubling every year.",Research areas for graduate students include rapid growth in blockchain and cryptocurrency papers.,5,24.440000000000026
And academia is really embracing this topic.,The academic world embraces this topic widely.,7,30.53000000000003
There's something different.,They are something different.,9,54.72500000000002
There's huge opportunity here.,There is significant opportunity available.,6,-52.039999999999964
So there's huge opportunity here.,"Thus, there are major opportunities.",5,32.56000000000003
Bitcoin was sort of created out of nowhere.,Bitcoin was seemingly created from nothing.,1,45.64500000000001
And what does it mean to create a crypto?,What does creating a cryptocurrency mean?,2,31.545000000000016
"And I'm going to start by showing you this picture because I want to highlight how remarkable is our ability to recognize emotions, our human ability to recognize emotions.",I'll begin by showing you a picture to highlight our remarkable ability to recognize emotions.,3,22.410000000000025
"So when you look at this image, for instance, we don't know anything about these people, but we can capture a lot of things about the atmosphere, right?","When we see this image, we may not know the people, but we can sense the atmosphere.",4,85.07411764705884
We see like a positive atmosphere and these people seem to be engaged and seem to be connecting on something.,We see a positive atmosphere and people engaged and connecting.,5,44.405
All of that is emotional information that we can capture just with one image.,All this emotional info is captured with one image.,6,56.70000000000002
Bitcoin was sort of created out of nowhere.,Bitcoin was created from nothing.,7,49.48000000000002
And what does it mean to create a crypto?,What does it mean to create crypto?,8,90.95857142857145
I'll begin by showing you a picture to highlight our remarkable ability to recognize emotions.,I'll show you a picture to highlight our emotion-recognition ability.,9,10.564999999999998
All of that is emotional information that we can capture just with one image.,That's emotional information we get from one image.,1,29.515000000000015
We have this remarkable capacity for recognizing emotions.,We can recognize emotions well.,9,49.48000000000002
Why is this capacity useful for us?,Why is this skill useful?,8,100.24000000000002
It's very important in our social interactions.,It matters a lot in our social life.,7,92.965
"When we interact with people, we are constantly making guesses about how others feel in order to adapt the way we communicate to others' emotions.",We guess others' feelings to adapt our communication when interacting with people.,6,32.504999999999995
"It's very important to detect people's needs as well, and also to predict people's reactions.",Detecting people's needs and predicting reactions are vital.,5,29.515000000000015
And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes.,Emotions greatly impact our lives and cognitive functions.,4,40.09
We have this remarkable capacity for recognizing emotions.,Recognizing emotions is an outstanding ability we possess.,3,-2.2099999999999795
Why is this capacity useful for us?,Understanding this emotion-recognition ability’s usefulness is essential.,2,-90.3271428571428
It's very important in our social interactions.,"In social interactions, its importance is indisputable.",2,-5.727142857142809
"It's very important to detect people's needs as well, and also to predict people's reactions.",It is crucial to perceive others’ needs and predict their reactions.,1,72.61545454545457
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?","Our attention, memory, and learning are affected by emotions. AI of the future is envisioned to have emotional intelligence, seen in many movies. Emotions are complex.",9,35.346025641025676
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?","Emotions impact attention, memory, and learning. AI is predicted to have emotional intelligence, as often shown in movies. Emotions remain complex.",8,26.50142857142862
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?","Emotions play a crucial role in attention, memory, and learning. Future AI with emotional intelligence is often depicted in movies. Emotions are complex.",7,33.53159420289856
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?","Emotions affect attention, memory, and learning processes. Future AI is expected to have emotions, as shown in movies. Emotions are complicated.",6,34.55857142857147
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?","Emotions modulate attention and affect memory and learning. Future AI is envisioned to have emotional intelligence, as seen in movies. Emotions are complex.",5,26.175072463768117
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?","Emotions influence memory, attention, and learning. Future AI may have emotional intelligence, as seen in movies. Emotions are intricate.",4,22.301403508771955
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?","Emotions affect attention mechanisms, memory, and learning. Future AI, often shown in movies, will have emotional intelligence. Emotions are complex.",3,22.40833333333333
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?","Emotions modulate our attention, influencing memory and learning. AI of the future, shown in movies, will have emotional intelligence. Emotions are complex.",2,30.19166666666669
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?","Emotions modulate our attention mechanisms and influence memory and learning. Future AI, shown in many movies, is expected to have emotional intelligence. Meanwhile, emotions are very complex.",1,25.366666666666674
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives. We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies. So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?","Emotions modulate attention and influence both memory and learning processes. AI of the future, often depicted in films, is imagined to possess emotional intelligence. Emotions are highly complex.",1,19.097380952380973
"Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel. So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures.","It's not easy to understand others' feelings. We can know some emotional states, but it's often difficult to understand both others and ourselves. How can machines handle this? Emotions change many things in our body. For example, nervousness raises heart rate and respiration, and changes in sweating, facial expressions, gaze, pupils, blood pressure, and posture occur.",1,50.4384285714286
"Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel. So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures.","Even people find understanding feelings hard. We get some emotional clues but often fail to know how others or we feel. So, how can machines grasp this? Emotions trigger many bodily changes. For example, nervousness alters heart rate, breathing, sweating, facial expressions, gaze, pupils, blood pressure, and posture.",2,56.09100000000001
"Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel. So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures.","Understanding how others feel is hard. We get some clues about emotions but often can't tell feelings. How can machines do it? Emotions change many body aspects, like heart rate, breathing, sweating, facial expressions, gaze, pupils, blood pressure, and posture.",3,61.32500000000002
"Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel. So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures.","It’s tough to understand feelings. We sense some emotions, but often we can't know how we feel. How can machines do this? Emotions change many body processes, like heart rate, breathing, sweating, facial expressions, gaze, pupils, blood pressure, and posture.",4,65.555
"Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel. So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures.","It's hard to understand how others feel. We can get some emotional clues, but it's complex. How can machines handle this? When emotions change, our body shows many signs, like heart rate, breathing, sweating, facial expressions, gaze, pupils, blood pressure, and posture.",5,65.24892857142859
"Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel. So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures.","It's often hard for us to understand emotions. We can get some emotional information, but it's complex. How can machines do this? When emotions change, our body shows many signs like heart and respiratory rate, sweating, facial expressions, gaze, pupils, blood pressure, and posture.",6,53.388181818181835
"Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel. So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures.","It's hard for us to know others' feelings. We can get some emotional hints, but it's tricky. How can machines manage this? Emotional changes affect our body: heart rate, breathing, sweating, facial expressions, gaze, pupils, blood pressure, and posture all change.",7,62.30929878048781
"Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel. So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body. So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures.","It's tough to understand how others feel. Some emotional clues, but it's complex. How do machines do it? Emotions change body signals: heart, breathing, sweat, facial expressions, gaze, pupils, blood pressure, and posture all shift.",8,62.59375000000003
