original_sentence,summary,level,FRE,performance,performance,performance
But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.,"We won't do digital identity or health records, we'll discuss technology.",8,34.160909090909115,0,0,0
But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.,"We won't do digital identity or health records, just discuss tech.",9,57.23363636363638,0,0,0
But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.,We won't handle digital identity or health records or similar; we'll discuss tech.,1,43.963076923076954,0,0,0
And so it doesn't necessarily have the same basis and rigor that we might expect for most of our academic fields of study. It's totally OK. We're figuring it out as we go along.,It lacks the usual academic rigor. This is fine. We're learning as we proceed.,1,69.15547619047621,0,0,0
And so it doesn't necessarily have the same basis and rigor that we might expect for most of our academic fields of study. It's totally OK. We're figuring it out as we go along.,"This field lacks academic rigor. However, it's fine as we're learning.",2,62.81613636363636,0,0,0
And so it doesn't necessarily have the same basis and rigor that we might expect for most of our academic fields of study. It's totally OK. We're figuring it out as we go along.,"The rigor is not like other fields, but it's fine. We're learning.",4,94.995,0,0,0
And so it doesn't necessarily have the same basis and rigor that we might expect for most of our academic fields of study. It's totally OK. We're figuring it out as we go along.,"This area lacks the usual rigor, which is fine as we go along.",6,69.99384615384618,1,1,1
"They're not a dollar or a pound or a euro, what we normally think of as currency. There's something different.","They are neither dollar nor pound nor euro, which we think of as money. They are different.",8,83.74867647058825,1,1,1
"And I'm going to start by showing you this picture because I want to highlight how remarkable is our ability to recognize emotions, our human ability to recognize emotions. So when you look at this image, for instance, we don't know anything about these people, but we can capture a lot of things about the atmosphere, right?","I will show you a picture to demonstrate our remarkable ability to recognize emotions. Even though we know nothing about these people, we can sense the atmosphere.",1,45.86583333333337,0,0,0
"And I'm going to start by showing you this picture because I want to highlight how remarkable is our ability to recognize emotions, our human ability to recognize emotions. So when you look at this image, for instance, we don't know anything about these people, but we can capture a lot of things about the atmosphere, right?",I'm showing you a picture to highlight our great skill in recognizing emotions. We can sense a lot about the atmosphere without knowing these people.,2,58.78750000000002,0,0,0
"And I'm going to start by showing you this picture because I want to highlight how remarkable is our ability to recognize emotions, our human ability to recognize emotions. So when you look at this image, for instance, we don't know anything about these people, but we can capture a lot of things about the atmosphere, right?","This picture shows our talent at knowing emotions. Even with unknown people, we get the atmosphere.",6,55.952500000000015,0,0,0
"And I'm going to start by showing you this picture because I want to highlight how remarkable is our ability to recognize emotions, our human ability to recognize emotions. So when you look at this image, for instance, we don't know anything about these people, but we can capture a lot of things about the atmosphere, right?",This picture shows our ability to see emotions. We can sense the atmosphere without knowing the people.,7,53.889852941176486,0,0,0
"And I'm going to start by showing you this picture because I want to highlight how remarkable is our ability to recognize emotions, our human ability to recognize emotions. So when you look at this image, for instance, we don't know anything about these people, but we can capture a lot of things about the atmosphere, right?",This picture shows our skill in seeing emotions. We can feel the atmosphere without knowing these people.,8,63.84279411764709,0,0,0
"And I'm going to start by showing you this picture because I want to highlight how remarkable is our ability to recognize emotions, our human ability to recognize emotions. So when you look at this image, for instance, we don't know anything about these people, but we can capture a lot of things about the atmosphere, right?",This picture shows our emotion recognition skill. We feel the atmosphere without knowing these people.,9,46.942499999999995,0,0,0
We see like a positive atmosphere and these people seem to be engaged and seem to be connecting on something. All of that is emotional information that we can capture just with one image.,We observe a good atmosphere and people appear engaged and connected. This is emotional data we can capture in one image.,9,55.17750000000001,0,0,0
We see like a positive atmosphere and these people seem to be engaged and seem to be connecting on something. All of that is emotional information that we can capture just with one image.,"The environment seems positive, and the people seem engaged and connected. This emotional data is captured in one image.",8,45.80302631578948,0,0,0
We see like a positive atmosphere and these people seem to be engaged and seem to be connecting on something. All of that is emotional information that we can capture just with one image.,"The atmosphere appears positive, with people looking engaged and connected. This emotional data is captured in one image.",7,37.900000000000034,0,0,0
We see like a positive atmosphere and these people seem to be engaged and seem to be connecting on something. All of that is emotional information that we can capture just with one image.,"There is a positive atmosphere, and people seem engaged and connected. This is emotional information captured in one image.",6,41.350394736842105,0,0,0
We see like a positive atmosphere and these people seem to be engaged and seem to be connecting on something. All of that is emotional information that we can capture just with one image.,"A positive atmosphere is observed, and the people appear to be engaged and connected. We can capture this emotional information in one image.",5,44.35380434782613,0,0,0
We see like a positive atmosphere and these people seem to be engaged and seem to be connecting on something. All of that is emotional information that we can capture just with one image.,"The environment is positive, with people seeming engaged and connected. This is emotional data that we can capture with a single image.",4,45.69727272727275,1,1,1
We see like a positive atmosphere and these people seem to be engaged and seem to be connecting on something. All of that is emotional information that we can capture just with one image.,"The observed atmosphere is positive, and people seem engaged and connected. All this emotional information can be captured in a single image.",3,41.8518181818182,0,0,0
We see like a positive atmosphere and these people seem to be engaged and seem to be connecting on something. All of that is emotional information that we can capture just with one image.,We observe a positive atmosphere where people seem engaged and connected. We capture all this emotional information with one image.,2,40.17500000000001,0,0,0
We see like a positive atmosphere and these people seem to be engaged and seem to be connecting on something. All of that is emotional information that we can capture just with one image.,The atmosphere appears positive and the people seem engaged and connected. This emotional information can be captured in a single image.,1,39.06321428571431,0,0,0
We have this remarkable capacity for recognizing emotions. Why is this capacity useful for us?,We have an amazing ability to recognize feelings. Why is this skill useful?,9,57.06826923076926,0,0,0
We have this remarkable capacity for recognizing emotions. Why is this capacity useful for us?,We can recognize emotions well. Why is this important?,8,61.26750000000001,0,0,0
We have this remarkable capacity for recognizing emotions. Why is this capacity useful for us?,We have a great ability to identify emotions. Why does this matter to us?,7,60.74428571428575,0,0,0
We have this remarkable capacity for recognizing emotions. Why is this capacity useful for us?,We are good at recognizing emotions. Why is this skill important?,6,62.81613636363636,1,1,1
We have this remarkable capacity for recognizing emotions. Why is this capacity useful for us?,We excel at recognizing emotions. Why do we need this ability?,5,47.434318181818185,0,0,0
We have this remarkable capacity for recognizing emotions. Why is this capacity useful for us?,We possess a skill to recognize emotions. Why do humans need this skill?,4,76.59134615384617,0,0,0
We have this remarkable capacity for recognizing emotions. Why is this capacity useful for us?,Recognizing emotions is a notable talent in us. Why is this talent significant?,3,37.54519230769233,1,1,1
We have this remarkable capacity for recognizing emotions. Why is this capacity useful for us?,We humans possess a profound ability to discern emotions. Why is it essential for us?,2,52.58250000000001,0,0,0
We have this remarkable capacity for recognizing emotions. Why is this capacity useful for us?,Our exceptional skill to identify emotions is significant. What makes this skill essential for us?,1,35.662499999999994,0,0,0
We have this remarkable capacity for recognizing emotions. Why is this capacity useful for us?,We possess an extraordinary capacity for recognizing emotions. Why do we need this ability to recognize emotions?,1,14.07808823529416,1,1,1
"It's very important in our social interactions. When we interact with people, we are constantly making guesses about how others feel in order to adapt the way we communicate to others' emotions.","In social interactions, we guess how others feel to adapt our communication.",9,32.504999999999995,0,0,0
"It's very important in our social interactions. When we interact with people, we are constantly making guesses about how others feel in order to adapt the way we communicate to others' emotions.","In social interactions, we guess others' feelings to adapt our communication.",8,18.77909090909094,0,0,0
"It's very important in our social interactions. When we interact with people, we are constantly making guesses about how others feel in order to adapt the way we communicate to others' emotions.",We guess others' emotions in social interactions to adapt communication.,7,10.564999999999998,0,0,0
"It's very important in our social interactions. When we interact with people, we are constantly making guesses about how others feel in order to adapt the way we communicate to others' emotions.",Social interactions involve guessing others' emotions to communicate better.,6,-9.099999999999994,0,0,0
"It's very important in our social interactions. When we interact with people, we are constantly making guesses about how others feel in order to adapt the way we communicate to others' emotions.",We need to guess feelings in social interactions to communicate effectively.,5,34.160909090909115,0,0,0
"It's very important in our social interactions. When we interact with people, we are constantly making guesses about how others feel in order to adapt the way we communicate to others' emotions.",Social interactions require guessing how others feel to adjust communication.,4,2.105000000000018,0,0,0
"It's very important in our social interactions. When we interact with people, we are constantly making guesses about how others feel in order to adapt the way we communicate to others' emotions.",We often adapt communication in social settings by guessing others' feelings.,3,26.470000000000027,0,0,0
"It's very important in our social interactions. When we interact with people, we are constantly making guesses about how others feel in order to adapt the way we communicate to others' emotions.",Adapting communication in social interactions means guessing others' feelings.,2,-9.099999999999994,0,0,0
"It's very important in our social interactions. When we interact with people, we are constantly making guesses about how others feel in order to adapt the way we communicate to others' emotions.",Interacting with people socially means continuously guessing their emotions.,1,-9.099999999999994,0,0,0
"It's very important to detect people's needs as well, and also to predict people's reactions. And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes.",It is very important to detect people's needs and predict their responses as emotions greatly influence many cognitive processes.,1,22.8026315789474,0,0,0
"It's very important to detect people's needs as well, and also to predict people's reactions. And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes.",Detecting people's needs and predicting reactions is crucial because emotions significantly influence our cognitive processes.,2,-17.069999999999993,0,0,0
"It's very important to detect people's needs as well, and also to predict people's reactions. And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes.",Detecting people's needs and predicting their reactions are essential tasks because emotions strongly influence cognitive processes.,3,5.532499999999999,0,0,0
"It's very important to detect people's needs as well, and also to predict people's reactions. And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes.",Recognizing people's needs and foreseeing their reactions are significant as emotions greatly impact thinking processes.,4,5.490000000000009,0,0,0
"It's very important to detect people's needs as well, and also to predict people's reactions. And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes.",It is important to detect people's needs and predict reactions as emotions strongly influence cognitive processes.,5,21.39500000000001,0,0,0
"It's very important to detect people's needs as well, and also to predict people's reactions. And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes.",Detect needs and predict reactions because emotions affect cognitive processes greatly.,6,11.088181818181852,0,0,0
"It's very important to detect people's needs as well, and also to predict people's reactions. And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes.",It is crucial to detect needs and foresee reactions because emotions impact thinking.,7,43.963076923076954,0,0,0
"It's very important to detect people's needs as well, and also to predict people's reactions. And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes.",It is key to see needs and predict reactions as emotions affect thinking.,8,63.486153846153854,0,0,0
"It's very important to detect people's needs as well, and also to predict people's reactions. And actually emotions are so important in our lives and have a strong influence in a lot of our cognitive processes.",Detect needs and predict reactions because emotions impact our thinking.,9,27.485000000000014,0,0,0
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives.","Emotions guide our attention, memory, and learning, making them vital.",1,27.485000000000014,0,0,0
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives.","Emotions affect our focus, memory, and learning, so they matter.",2,35.94500000000002,0,0,0
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives.","Emotions shape our focus, memory, and learning, hence they are important.",3,41.8518181818182,0,0,0
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives.","Emotions affect our attention, memory, and learning, making them key in our lives.",4,37.455384615384645,0,0,0
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives.","Emotions impact our attention, memory, and learning, which makes them crucial.",5,34.160909090909115,0,0,0
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives.","Emotions shape our focus, memory, learning, thus they are crucial in our lives.",6,50.470769230769264,0,0,0
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives.","Emotions guide attention, memory, learning; making them crucial in our lives.",7,34.160909090909115,0,0,0
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives.","Emotions are essential because they affect attention, memory, and learning.",8,19.025000000000006,0,0,0
"So for instance, they modulate our attention mechanisms and they strongly influence our memory and also our learning process. So emotions are so important in our lives.","Emotions influence attention, memory, and learning, so they are important to us.",9,32.504999999999995,0,0,0
"We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies.|",We think about future AI and ask who has seen any of these movies. Most of you have.|,1,94.30000000000001,0,0,0
"We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies.|",We imagine AI in the future and ask who has watched any of these movies. Most people have seen at least one.|,2,87.99727272727276,0,0,0
"We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies.|","Thinking of future AI, we ask who has seen any of these movies. Many of you have seen at least one.|",3,91.43464285714288,0,0,0
"We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies.|","We ask how many of you have seen these movies, thinking about future AI. Most have.|",4,87.67750000000001,0,0,0
"We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies.|","Thinking about future AI, we ask who has seen these movies. Many of you have.|",5,86.42250000000001,0,0,0
"We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies.|","Considering future AI, we ask who has seen these movies. Most have.|",6,80.89500000000001,0,0,0
"We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies.|",We ask who has seen any of these movies. Most people have.|,7,94.995,0,0,0
"We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies.|",We ask who has seen these movies. Most have.|,8,108.26750000000001,0,0,0
"We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies.|",How many have seen these movies? Most of you have.|,9,100.24000000000002,0,0,0
"We imagine the AI of the future, so I'm going to ask how many of you have seen at least one of these movies here? So most of you have seen at least one of these movies.|",Who has seen these movies? Most have.|,1,106.59678571428573,0,0,0
"So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?|","Machines imagined in the future will have emotional intelligence, though emotions are complex.",9,24.440000000000026,0,0,0
"So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?|","Future machines will have emotional intelligence, but emotions are complex.",8,19.025000000000006,0,0,0
"So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?|","In the future, machines will possess emotional intelligence, but emotions are complex.",7,25.455000000000013,0,0,0
"So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?|","Machines in the future will have emotional intelligence, although emotions are complex.",6,25.455000000000013,0,0,0
"So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?|","Future machines will be emotionally intelligent, yet emotions are complex.",5,19.025000000000006,0,0,0
"So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?|","Machines in the future will show emotional intelligence, but emotions are very complex.",4,30.947692307692336,0,0,0
"So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?|","In future, machines will have emotional intelligence, yet emotions are highly complex.",3,25.455000000000013,0,0,0
"So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?|","Machines of the future will embody emotional intelligence, but the complexity of emotions is immense.",2,16.77000000000001,0,0,0
"So you know what I said, I'm not going to make any spoiler, but you know what I'm saying when I say that the machines that we imagine in the future, all of them have some kind of emotional intelligence. But on the other side, emotions are so complex, right?|","The envisioned machines of the future will inherently have emotional intelligence, yet the intricacy of emotions remains vast.",1,14.66500000000002,1,1,1
"Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel.|","Sometimes, it is hard for us to understand others' feelings. We can get some idea of their emotions, but understanding them completely, and even our own feelings, is complex.|",9,57.92439655172416,0,0,0
"Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel.|","It's often hard to understand how others feel. We get some emotional clues, but knowing their feelings fully is tough.|",8,69.78500000000001,0,0,0
"Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel.|",We find it tricky to grasp the emotions of others. Sometimes emotions are unclear to us.|,6,71.81500000000001,0,0,0
"Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel.|",Often it's hard for us to understand emotions of others. It can be vague to grasp.|,5,82.39000000000001,0,0,0
"Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel.|",Understanding how others feel is tough. It can be confusing sometimes.|,3,62.81613636363636,0,0,0
"Even for us sometimes it's difficult to know how others feel. We can grasp some information about the upper and emotional states of people, but it's complex sometimes to know how others feel or even how we feel.|",Emotions are very hard to understand completely.|,1,42.61571428571432,0,0,0
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body.","Machines can perform complex tasks. When emotions shift, our bodies change.",9,62.81613636363636,0,0,0
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body.",How can machines handle complex tasks? Emotional changes cause many changes in our bodies.,8,48.65857142857146,0,0,0
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body.",How do machines manage such complexity? Emotional shifts lead to many bodily changes.,7,37.54519230769233,0,0,0
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body.",Machines handling complexity is puzzling. Our bodies undergo numerous changes when our emotions vary.,6,12.401428571428596,0,0,0
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body.",It is difficult to fathom how machines tackle complex tasks. Emotional fluctuations cause multiple changes in the human body.,5,36.89776315789476,0,0,0
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body.",The complexity of machine tasks is hard to grasp. Emotional changes result in various changes in the body.,4,52.00000000000003,0,0,0
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body.","Understanding how machines handle complex operations is challenging. When emotions fluctuate, numerous alterations occur in our bodies.",3,4.125147058823558,0,0,0
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body.",It's perplexing how machines can manage intricate functions. Emotional variations trigger a host of physical changes within the human body.,2,27.485000000000014,1,1,1
"So how can machines do something that complex? Well, the thing is that when our emotions change, there are a lot of things that change in our body.",The enigma of how machines manage complicated processes is bewildering. Changes in emotions cause numerous physiological changes in our bodies.,1,6.335000000000008,0,0,0
"So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures.|","When nervous, heart and respiration rates rise, sweat increases, skin activity and facial expressions change, eyes and blood pressure shift, and posture varies.|",2,43.716086956521764,0,0,0
"So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures.|","Nervousness raises heart and breathing rates. Sweat and skin activity increase. Face, eyes, blood pressure, and posture change.|",3,69.14500000000001,0,0,0
"So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures.|","When nervous, heart and breath rates rise. Sweat, skin activity, and faces change. Eyes, blood pressure, and postures vary.|",4,80.18561403508772,0,0,0
"So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures.|","When nervous, the heart and lungs work harder. We sweat. Skin, face, and eyes change. Blood pressure rises and posture shifts.|",5,100.79196428571431,0,0,0
"So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures.|","Nervousness makes our heart and breath quicken. Sweat, skin activity, face, eyes, blood pressure and posture all change.|",6,70.80000000000003,0,0,0
"So for instance, when we are nervous, usually our heart rate increases, also our respiration rate increases, we sweat, so the electrodermal activity in our skin also changes. Our facial expression changes, our gaze patterns change, our pupil changes as well, our blood pressure, and we have different body postures.|","When nervous, heart rate rises, breathing quickens, and we sweat. Skin activity, face, eyes, blood pressure, and posture all change.|",7,74.01500000000001,1,1,1
