original_sentence,summary,level
"And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. ","If you want to run this code and join the network, you can. The creator's identity is unknown, and they have vanished from the internet. However, their creation has inspired many and generated billions in economic value, solving many issues beyond electronic payments. ",9
"And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. ","Here is a code to join the peer network. The creator is unknown and has disappeared. The invention is inspiring and valuable, used beyond just payments. ",8
"And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. ","The code allows you to join the peer network. Though the creator is unknown and vanished, their creation has inspired many and added billions in value, solving issues beyond payments. ",7
"And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. ","You can join the peer network by running the code. The creator’s identity remains unknown and they’ve vanished from the internet, but their creation has generated billions in value and various solutions beyond payments. ",6
"And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. ","Run this code to join the peer-to-peer network. The creator is unknown and has disappeared, but their work has inspired many, creating billions in value and solving varied problems beyond payments. ",5
"And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. ","Execute this code to become part of a peer-to-peer network. The creator, who is now anonymous and vanished, has motivated many and produced vast economic value, solving numerous issues beyond just payments. ",4
"And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. ","Use this code to join a peer-to-peer network. The anonymous creator has disappeared, but their creation has sparked widespread creativity and economic value, addressing diverse problems, not limited to just payments. ",3
"And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. ","With this code, you can join the peer-to-peer network. The unknown creator has vanished but has inspired many and created billions in value, solving various problems beyond payments. ",2
"And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. ","Utilizing the provided code enables joining the peer-to-peer network. The anonymous creator has vanished from the internet, yet their work has inspired numerous individuals and created significant economic value, addressing a variety of problems, not confined to electronic payments. ",1
"And here is some code if you want to run it and become part of this peer-to-peer network. We don't know who this person is. This person is basically virtually disappeared from the internet and from the world. But it's created something that has captured so many people's imaginations and has sort of, depending on how you measure it, created billions and billions of dollars of economic value and sort of inspired a lot of people to think about how to use this technology to solve a myriad of different problems, not just electronic payments. ","Utilize this code to join the peer-to-peer network. The creator's identity is unknown, and they have disappeared from the internet. Yet, their creation has inspired many and generated billions in value, solving numerous issues beyond just payments. ",1
"So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure. ","Cryptocurrencies inspire people to think about banking the unbanked, auditability, traceability, and solving problems, but that's not what this class is about. This class focuses on technology and infrastructure. ",9
"So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure. ","Cryptocurrencies and their technology inspire people to consider banking the unbanked, improving auditability, traceability, and removing intermediaries, but that's not what this class covers. This class is about technology and infrastructure. ",8
"So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure. ","People are inspired by cryptocurrencies to think about banking the unbanked, auditing, and removing intermediaries, but this class is not about those applications. It focuses on technology and infrastructure. ",7
"So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure. ","Cryptocurrencies make people think about banking the unbanked, auditability, removing intermediaries, but this class focuses on technology and infrastructure, not applications. ",6
"So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure. ","Cryptocurrencies inspire considering banking the unbanked, improving auditability, and removing intermediaries, but this course is about technology, not applications. ",5
"So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure. ","People are inspired to think of banking the unbanked and improve auditability, but this class is about technology, not applications. ",4
"So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure. ","Cryptocurrencies inspire thinking about banking the unbanked and more, but this class is about technology, not applications. ",3
"So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure. ","People think of banking the unbanked, auditability, and solving problems due to cryptocurrencies, but this class focuses on technology. ",2
"So cryptocurrencies and the technology behind them are inspiring people to think about how to bank the unbanked, add more auditability and traceability to our world, get rid of trusted intermediaries and institutions in certain situations, and basically solve every problem if you read about what blockchains can do on the internet. Now, that's not exactly what this class is about. This class is not going to be about applications. This class is going to be about technology and infrastructure. ","People think about banking and auditability due to cryptocurrencies, but this class is not about applications, only technology. ",1
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.. ","You will learn to create cryptocurrency, its components, importance, techniques, and applications, except digital identity or health records, focusing on technology instead.. ",1
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.. ","You will learn to make cryptocurrency and understand its components, importance, techniques, and possible applications. However, digital identity and health records are excluded, focusing only on technology.. ",2
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.. ","Learn to create a cryptocurrency, understand its elements and techniques, and explore its applications, except for digital identity and health records. Focus on the technology.. ",3
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.. ","You will learn to create a cryptocurrency, understand its components and techniques, and decide on applications, excluding digital identity and health records, focusing on technology.. ",4
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.. ","You will learn how to create a cryptocurrency, understand its components, techniques, and applications, except for digital identity and health records, focusing on technology.. ",5
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.. ","You'll learn to create a cryptocurrency, its components, techniques, and potential uses, excluding digital identity and health care records, focusing solely on technology.. ",6
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.. ","You will learn to create a cryptocurrency, its parts, techniques, and uses, except for digital identity and health records, focusing on technology.. ",7
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.. ","Learn to create a cryptocurrency, understand its elements and techniques, and decide on applications, excluding digital identity and health records. Focus on the technology.. ",8
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.. ","Learn to create cryptocurrency, its parts, techniques, and uses. Excluding digital identity and health records. Focus on tech.. ",9
"You are going to learn how to create a cryptocurrency, what goes inside a cryptocurrency, what's important, what are the techniques, and what application you choose to apply that to down the line. That's kind of up to you. But we're not going to be doing digital identity or health care records or something like that. We're going to be talking about the technology.. ","Learn to make cryptocurrency. Know its parts, techniques, and uses, except digital identity and health records. Focus on tech.. ",1
"So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined. So you will hear people throw around all sorts of terms, cryptocurrency, blockchain, consensus. And these words are kind of have floating evolving meanings right now.. ","How do cryptocurrencies differ from regular currencies? Terminology in this area is still being defined, with words like cryptocurrency, blockchain, and consensus having evolving meanings.. ",1
"So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined. So you will hear people throw around all sorts of terms, cryptocurrency, blockchain, consensus. And these words are kind of have floating evolving meanings right now.. ","What sets cryptocurrencies apart from regular currencies? The terminology in this field is still evolving, with terms like cryptocurrency, blockchain, and consensus often changing in meaning.. ",2
"So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined. So you will hear people throw around all sorts of terms, cryptocurrency, blockchain, consensus. And these words are kind of have floating evolving meanings right now.. ","How do cryptocurrencies differ from normal currencies? Terms like cryptocurrency, blockchain, and consensus are still developing and changing in meaning.. ",3
"So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined. So you will hear people throw around all sorts of terms, cryptocurrency, blockchain, consensus. And these words are kind of have floating evolving meanings right now.. ","What makes cryptocurrencies different from regular money? The words in this field like cryptocurrency, blockchain, and consensus are still evolving in meaning.. ",4
"So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined. So you will hear people throw around all sorts of terms, cryptocurrency, blockchain, consensus. And these words are kind of have floating evolving meanings right now.. ","People are asking how cryptocurrencies differ from regular money. Terms like cryptocurrency, blockchain, and consensus are still evolving in this space.. ",5
"So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined. So you will hear people throw around all sorts of terms, cryptocurrency, blockchain, consensus. And these words are kind of have floating evolving meanings right now.. ","How are cryptocurrencies different from traditional money? Words like cryptocurrency, blockchain, and consensus are still evolving in meaning.. ",6
"So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined. So you will hear people throw around all sorts of terms, cryptocurrency, blockchain, consensus. And these words are kind of have floating evolving meanings right now.. ","How do cryptocurrencies differ from regular money? Words like cryptocurrency, blockchain, and consensus are still evolving.. ",7
"So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined. So you will hear people throw around all sorts of terms, cryptocurrency, blockchain, consensus. And these words are kind of have floating evolving meanings right now.. ","How do cryptocurrencies differ from regular money? Terms like cryptocurrency, blockchain, and consensus are evolving.. ",8
"So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined. So you will hear people throw around all sorts of terms, cryptocurrency, blockchain, consensus. And these words are kind of have floating evolving meanings right now.. ","How are cryptocurrencies different from regular money? Terms like cryptocurrency, blockchain, and consensus are changing.. ",9
"So a big question is how are cryptocurrencies different from regular currencies? And another thing that I want to make really clear is that the terms in this space are still being defined. So you will hear people throw around all sorts of terms, cryptocurrency, blockchain, consensus. And these words are kind of have floating evolving meanings right now.. ",How do cryptocurrencies differ from regular money? Terms like cryptocurrency and blockchain are still evolving.. ,1
"Part of that is because Bitcoin, the first cryptocurrency, didn't come from academia as far as we know. It came from a community of enthusiasts on the internet. And so it doesn't necessarily have the same basis and rigor that we might expect for most of our academic fields of study. It's totally OK. We're figuring it out as we go along.. ","Bitcoin didn’t originate from academia; rather, it emerged from an online community. It lacks the academic rigor we typically see, but that’s fine—we’re learning as we proceed.. ",9
"Part of that is because Bitcoin, the first cryptocurrency, didn't come from academia as far as we know. It came from a community of enthusiasts on the internet. And so it doesn't necessarily have the same basis and rigor that we might expect for most of our academic fields of study. It's totally OK. We're figuring it out as we go along.. ","Bitcoin, unlike academic inventions, was created by online enthusiasts, not scholars. It lacks traditional rigor but that is acceptable. We're learning as we go.. ",8
"Part of that is because Bitcoin, the first cryptocurrency, didn't come from academia as far as we know. It came from a community of enthusiasts on the internet. And so it doesn't necessarily have the same basis and rigor that we might expect for most of our academic fields of study. It's totally OK. We're figuring it out as we go along.. ","Bitcoin started with internet enthusiasts, not academics, so it lacks some rigor. Still, it is fine. We are learning as we continue.. ",7
"Part of that is because Bitcoin, the first cryptocurrency, didn't come from academia as far as we know. It came from a community of enthusiasts on the internet. And so it doesn't necessarily have the same basis and rigor that we might expect for most of our academic fields of study. It's totally OK. We're figuring it out as we go along.. ","Bitcoin originated from an online community, not from academia, so it lacks traditional rigor. This is fine; we're learning along the way.. ",6
"Part of that is because Bitcoin, the first cryptocurrency, didn't come from academia as far as we know. It came from a community of enthusiasts on the internet. And so it doesn't necessarily have the same basis and rigor that we might expect for most of our academic fields of study. It's totally OK. We're figuring it out as we go along.. ","Bitcoin came from online enthusiasts, not academics, and lacks traditional rigor. This is acceptable; we are learning.. ",5
"Part of that is because Bitcoin, the first cryptocurrency, didn't come from academia as far as we know. It came from a community of enthusiasts on the internet. And so it doesn't necessarily have the same basis and rigor that we might expect for most of our academic fields of study. It's totally OK. We're figuring it out as we go along.. ","Bitcoin was created by online enthusiasts, not academics. It lacks traditional rigor, which is acceptable; we are learning as we go.. ",4
"Part of that is because Bitcoin, the first cryptocurrency, didn't come from academia as far as we know. It came from a community of enthusiasts on the internet. And so it doesn't necessarily have the same basis and rigor that we might expect for most of our academic fields of study. It's totally OK. We're figuring it out as we go along.. ","Bitcoin was created by internet enthusiasts, not academics, so it lacks some rigor. This is okay; we're learning as we proceed.. ",3
"Part of that is because Bitcoin, the first cryptocurrency, didn't come from academia as far as we know. It came from a community of enthusiasts on the internet. And so it doesn't necessarily have the same basis and rigor that we might expect for most of our academic fields of study. It's totally OK. We're figuring it out as we go along.. ","Bitcoin, developed by internet enthusiasts, didn't come from academia, so it lacks rigor. This is acceptable; we are learning.. ",2
"Part of that is because Bitcoin, the first cryptocurrency, didn't come from academia as far as we know. It came from a community of enthusiasts on the internet. And so it doesn't necessarily have the same basis and rigor that we might expect for most of our academic fields of study. It's totally OK. We're figuring it out as we go along.. ","Bitcoin has origins with internet enthusiasts, not academia, so it lacks rigor. This is fine as we learn.. ",1
"Part of that is because Bitcoin, the first cryptocurrency, didn't come from academia as far as we know. It came from a community of enthusiasts on the internet. And so it doesn't necessarily have the same basis and rigor that we might expect for most of our academic fields of study. It's totally OK. We're figuring it out as we go along.. ","Bitcoin, made by internet enthusiasts, lacks academic rigor. This is fine; we are learning.. ",1
"And academia is really embracing this topic. So if any of you are graduate students who are looking for an area in which to do research, I think basically the number of papers published on cryptocurrencies and blockchain technology in respected academic venues is doubling every year. So there's huge opportunity here. So cryptocurrencies are not regular currencies.. ","Scholars are embracing this field. If you are a graduate student seeking research topics, the number of papers on cryptocurrency and blockchain in top journals is doubling annually. There is great potential here. Cryptocurrencies differ from regular ones.. ",6
"And academia is really embracing this topic. So if any of you are graduate students who are looking for an area in which to do research, I think basically the number of papers published on cryptocurrencies and blockchain technology in respected academic venues is doubling every year. So there's huge opportunity here. So cryptocurrencies are not regular currencies.. ",Academia is exploring this subject. Grad students can research this. Papers on blockchain and cryptocurrency in top journals double each year. There is significant potential. Cryptocurrencies are not standard money.. ,7
"And academia is really embracing this topic. So if any of you are graduate students who are looking for an area in which to do research, I think basically the number of papers published on cryptocurrencies and blockchain technology in respected academic venues is doubling every year. So there's huge opportunity here. So cryptocurrencies are not regular currencies.. ",Academics find this topic interesting. Grad students doing research can pick this. Papers on crypto and blockchain in top venues double every year. The potential is vast. Cryptocurrencies are not like regular money.. ,8
"And academia is really embracing this topic. So if any of you are graduate students who are looking for an area in which to do research, I think basically the number of papers published on cryptocurrencies and blockchain technology in respected academic venues is doubling every year. So there's huge opportunity here. So cryptocurrencies are not regular currencies.. ",Academia loves this focus. Grad students can research it. Papers on crypto and blockchain in top journals double every year. Big potential here. Cryptocurrencies aren't regular money.. ,9
"And academia is really embracing this topic. So if any of you are graduate students who are looking for an area in which to do research, I think basically the number of papers published on cryptocurrencies and blockchain technology in respected academic venues is doubling every year. So there's huge opportunity here. So cryptocurrencies are not regular currencies.. ",Scholars support this. Grad students can research it. Published work on blockchain and crypto is doubling in top journals annually. Big opportunities await. Cryptocurrencies are different.. ,5
"And academia is really embracing this topic. So if any of you are graduate students who are looking for an area in which to do research, I think basically the number of papers published on cryptocurrencies and blockchain technology in respected academic venues is doubling every year. So there's huge opportunity here. So cryptocurrencies are not regular currencies.. ",Academic interest in this field is high. Grad students can explore this for research topics. The number of papers on cryptocurrency and blockchain in notable journals is doubling each year. There are many opportunities. Cryptocurrencies are not standard currencies.. ,4
"And academia is really embracing this topic. So if any of you are graduate students who are looking for an area in which to do research, I think basically the number of papers published on cryptocurrencies and blockchain technology in respected academic venues is doubling every year. So there's huge opportunity here. So cryptocurrencies are not regular currencies.. ",Academia is highly interested in this. Grad students can research it. Papers on cryptocurrencies and blockchain in top venues increase every year. Opportunities are plentiful. Cryptocurrencies are unlike regular currencies.. ,3
"And academia is really embracing this topic. So if any of you are graduate students who are looking for an area in which to do research, I think basically the number of papers published on cryptocurrencies and blockchain technology in respected academic venues is doubling every year. So there's huge opportunity here. So cryptocurrencies are not regular currencies.. ",Academic interest grows in this area. Grad students may find research topics here. The number of papers on cryptocurrency and blockchain doubles annually in top academic venues. Numerous opportunities exist. Crypto is not standard money.. ,2
"And academia is really embracing this topic. So if any of you are graduate students who are looking for an area in which to do research, I think basically the number of papers published on cryptocurrencies and blockchain technology in respected academic venues is doubling every year. So there's huge opportunity here. So cryptocurrencies are not regular currencies.. ",Academia embraces this topic. Grad students can research it. Scholarly papers on blockchain and cryptocurrency are doubling yearly in top journals. There's much opportunity. Cryptocurrencies differ from traditional currencies.. ,1
"And academia is really embracing this topic. So if any of you are graduate students who are looking for an area in which to do research, I think basically the number of papers published on cryptocurrencies and blockchain technology in respected academic venues is doubling every year. So there's huge opportunity here. So cryptocurrencies are not regular currencies.. ",Academia is excited about this. Grad students can look into it. Academic papers on blockchain and crypto in top venues double each year. There is big potential. Cryptocurrencies are not like normal money.. ,7
"They're not a dollar or a pound or a euro, what we normally think of as currency. There's something different. Bitcoin was sort of created out of nowhere. And what does it mean to create a crypto? ","These aren't currencies like dollars or euros. Bitcoin is very different, created from nothing. What does creating a crypto mean? ",9
"They're not a dollar or a pound or a euro, what we normally think of as currency. There's something different. Bitcoin was sort of created out of nowhere. And what does it mean to create a crypto? ","Unlike dollars or euros, Bitcoins are different, made from scratch. What does crypto creation involve? ",8
"They're not a dollar or a pound or a euro, what we normally think of as currency. There's something different. Bitcoin was sort of created out of nowhere. And what does it mean to create a crypto? ","Bitcoin isn't traditional money like dollars or euros. It's unique, made from nothing. What is crypto creation? ",7
"They're not a dollar or a pound or a euro, what we normally think of as currency. There's something different. Bitcoin was sort of created out of nowhere. And what does it mean to create a crypto? ","Bitcoins are not like dollars or euros. They are different, made from nothing. What does creating crypto mean? ",6
"They're not a dollar or a pound or a euro, what we normally think of as currency. There's something different. Bitcoin was sort of created out of nowhere. And what does it mean to create a crypto? ","Bitcoins are unlike dollars or euros. They are unique, created from nowhere. What is making crypto? ",5
"They're not a dollar or a pound or a euro, what we normally think of as currency. There's something different. Bitcoin was sort of created out of nowhere. And what does it mean to create a crypto? ",Bitcoins are not similar to euros or pounds. They are created differently. How is a crypto made? ,4
"They're not a dollar or a pound or a euro, what we normally think of as currency. There's something different. Bitcoin was sort of created out of nowhere. And what does it mean to create a crypto? ","Unlike traditional money like euros, bitcoins are made differently. What does creating crypto mean? ",3
"They're not a dollar or a pound or a euro, what we normally think of as currency. There's something different. Bitcoin was sort of created out of nowhere. And what does it mean to create a crypto? ",Bitcoins aren't like pounds or euros. They are different. What does it mean to make crypto? ,2
"They're not a dollar or a pound or a euro, what we normally think of as currency. There's something different. Bitcoin was sort of created out of nowhere. And what does it mean to create a crypto? ",Bitcoins are not dollars or euros. They are different. How is crypto made? ,1
"And I'm going to start by showing you this picture because I want to highlight how remarkable is our ability to recognize emotions, our human ability to recognize emotions. So when you look at this image, for instance, we don't know anything about these people, but we can capture a lot of things about the atmosphere, right? We see like a positive atmosphere and these people seem to be engaged and seem to be connecting on something. All of that is emotional information that we can capture just with one image.. ","Looking at this image, it is surprising how we can recognize emotions and capture a positive atmosphere, even though we know nothing about these people.. ",1
"And I'm going to start by showing you this picture because I want to highlight how remarkable is our ability to recognize emotions, our human ability to recognize emotions. So when you look at this image, for instance, we don't know anything about these people, but we can capture a lot of things about the atmosphere, right? We see like a positive atmosphere and these people seem to be engaged and seem to be connecting on something. All of that is emotional information that we can capture just with one image.. ","By looking at this picture, we can recognize emotions and perceive a positive atmosphere even without knowing the people.. ",2
"And I'm going to start by showing you this picture because I want to highlight how remarkable is our ability to recognize emotions, our human ability to recognize emotions. So when you look at this image, for instance, we don't know anything about these people, but we can capture a lot of things about the atmosphere, right? We see like a positive atmosphere and these people seem to be engaged and seem to be connecting on something. All of that is emotional information that we can capture just with one image.. ","Viewing this image, we can recognize emotions and feel a positive atmosphere, despite knowing nothing about the people.. ",3
"And I'm going to start by showing you this picture because I want to highlight how remarkable is our ability to recognize emotions, our human ability to recognize emotions. So when you look at this image, for instance, we don't know anything about these people, but we can capture a lot of things about the atmosphere, right? We see like a positive atmosphere and these people seem to be engaged and seem to be connecting on something. All of that is emotional information that we can capture just with one image.. ",This picture shows how we can recognize emotions and see a positive atmosphere without knowing the people.. ,4
